,MLP (ADAM),MLP (SGD)
0,"{'solver': 'adam', 'learning_rate_init': 9.050702401842111, 'activation': 'tanh', 'hidden_layer_sizes': (143, 60), 'alpha': 1.349173285684005, 'max_iter': 214, 'batch_size': 261, 'shuffle': True, 'beta_1': 0.7969513196054211, 'beta_2': 0.5405063360290102}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.575509905235769, 'activation': 'relu', 'hidden_layer_sizes': (82, 100), 'alpha': 0.13973562977626747, 'max_iter': 445, 'batch_size': 219, 'shuffle': False, 'momentum': 0.8360675823648537, 'nesterovs_momentum': False}"
1,"{'solver': 'adam', 'learning_rate_init': 6.453285284627104, 'activation': 'tanh', 'hidden_layer_sizes': (13,), 'alpha': 1.8540082972084015, 'max_iter': 152, 'batch_size': 444, 'shuffle': False, 'beta_1': 0.6464606135924248, 'beta_2': 0.1762699975185459}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.504555386481422, 'activation': 'relu', 'hidden_layer_sizes': (146, 17), 'alpha': 9.567995234392216, 'max_iter': 402, 'batch_size': 365, 'shuffle': False, 'momentum': 0.11031806651988874, 'nesterovs_momentum': True}"
2,"{'solver': 'adam', 'learning_rate_init': 9.476181985507806, 'activation': 'relu', 'hidden_layer_sizes': (66, 161, 119, 73, 125), 'alpha': 5.66175713746163, 'max_iter': 281, 'batch_size': 444, 'shuffle': False, 'beta_1': 0.20964449810762614, 'beta_2': 0.7602111714682461}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.9222479222202533, 'activation': 'relu', 'hidden_layer_sizes': (122, 149), 'alpha': 2.8573372769740084, 'max_iter': 214, 'batch_size': 541, 'shuffle': False, 'momentum': 0.36021349521931584, 'nesterovs_momentum': True}"
3,"{'solver': 'adam', 'learning_rate_init': 9.96014723104737, 'activation': 'logistic', 'hidden_layer_sizes': (50,), 'alpha': 6.567428182671918, 'max_iter': 304, 'batch_size': 165, 'shuffle': True, 'beta_1': 0.779762142140384, 'beta_2': 0.28246769824649737}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 7.9712633188934054, 'activation': 'tanh', 'hidden_layer_sizes': (37, 162), 'alpha': 7.9367385290621755, 'max_iter': 442, 'batch_size': 503, 'shuffle': True, 'momentum': 0.7783436559227341, 'nesterovs_momentum': True}"
4,"{'solver': 'adam', 'learning_rate_init': 0.17860841464501895, 'activation': 'relu', 'hidden_layer_sizes': (145, 109, 109, 93), 'alpha': 3.1187610171585565, 'max_iter': 251, 'batch_size': 408, 'shuffle': False, 'beta_1': 0.02661243432302371, 'beta_2': 0.4209189604280937}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.95701330188519, 'activation': 'tanh', 'hidden_layer_sizes': (167, 126, 83), 'alpha': 3.6529975867002373, 'max_iter': 171, 'batch_size': 507, 'shuffle': True, 'momentum': 0.7315744558420602, 'nesterovs_momentum': False}"
5,"{'solver': 'adam', 'learning_rate_init': 0.011289791739331496, 'activation': 'relu', 'hidden_layer_sizes': (124, 64, 86, 26), 'alpha': 5.259138881503633, 'max_iter': 226, 'batch_size': 105, 'shuffle': True, 'beta_1': 0.08783990126368965, 'beta_2': 0.43952309357336944}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.8387599020406844, 'activation': 'logistic', 'hidden_layer_sizes': (3,), 'alpha': 8.182917518292395, 'max_iter': 353, 'batch_size': 330, 'shuffle': False, 'momentum': 0.31040291690099303, 'nesterovs_momentum': False}"
6,"{'solver': 'adam', 'learning_rate_init': 7.643593057456883, 'activation': 'relu', 'hidden_layer_sizes': (165, 134, 181, 146, 120), 'alpha': 1.6292846121363505, 'max_iter': 148, 'batch_size': 494, 'shuffle': False, 'beta_1': 0.7929298072345338, 'beta_2': 0.06267889550998565}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.997145863380252, 'activation': 'logistic', 'hidden_layer_sizes': (146,), 'alpha': 8.605400865129159, 'max_iter': 471, 'batch_size': 234, 'shuffle': True, 'momentum': 0.031805129550126245, 'nesterovs_momentum': True}"
7,"{'solver': 'adam', 'learning_rate_init': 7.387691902402998, 'activation': 'tanh', 'hidden_layer_sizes': (79,), 'alpha': 4.73721476029995, 'max_iter': 377, 'batch_size': 411, 'shuffle': False, 'beta_1': 0.9888127267514577, 'beta_2': 0.09832532094927386}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 7.968799260548722, 'activation': 'relu', 'hidden_layer_sizes': (147, 184, 190, 63), 'alpha': 4.538282925005041, 'max_iter': 426, 'batch_size': 278, 'shuffle': False, 'momentum': 0.5628352666370575, 'nesterovs_momentum': False}"
8,"{'solver': 'adam', 'learning_rate_init': 9.442422931749528, 'activation': 'logistic', 'hidden_layer_sizes': (142,), 'alpha': 6.45751850882587, 'max_iter': 126, 'batch_size': 541, 'shuffle': True, 'beta_1': 0.41363340067405585, 'beta_2': 0.13572261122016144}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.1263637513359952, 'activation': 'logistic', 'hidden_layer_sizes': (48,), 'alpha': 6.3815012485433735, 'max_iter': 133, 'batch_size': 160, 'shuffle': False, 'momentum': 0.4882572489684832, 'nesterovs_momentum': True}"
9,"{'solver': 'adam', 'learning_rate_init': 6.275426997792851, 'activation': 'logistic', 'hidden_layer_sizes': (22, 54, 165, 88), 'alpha': 3.708412495692462, 'max_iter': 393, 'batch_size': 96, 'shuffle': True, 'beta_1': 0.38793397316099454, 'beta_2': 0.8259415756093806}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.34805083226936845, 'activation': 'relu', 'hidden_layer_sizes': (55,), 'alpha': 1.9801945284034457, 'max_iter': 41, 'batch_size': 273, 'shuffle': False, 'momentum': 0.5156400839267472, 'nesterovs_momentum': False}"
