,MLP (ADAM)
0,0.7969513196054211
1,0.6464606135924248
2,0.20964449810762614
3,0.779762142140384
4,0.02661243432302371
5,0.08783990126368965
6,0.7929298072345338
7,0.9888127267514577
8,0.41363340067405585
9,0.38793397316099454
10,0.6736637173375049
11,0.7846629150986101
12,0.7452378305431652
13,0.8814257470163225
14,0.2847286099871743
15,0.7689384977564635
16,0.5316850729661871
17,0.09704169421371142
18,0.8655257947889036
19,0.92741083102821
20,0.6065798105254486
21,0.5764621891154691
22,0.2829423728335048
23,0.20224277112580638
24,0.9541411163837589
25,0.43798764801813495
26,0.47535068301561406
27,0.8984908573319876
28,0.5764029268394315
29,0.8085724318114994
