,MLP (SGD)
0,0.8360675823648537
1,0.11031806651988874
2,0.36021349521931584
3,0.7783436559227341
4,0.7315744558420602
5,0.31040291690099303
6,0.031805129550126245
7,0.5628352666370575
8,0.4882572489684832
9,0.5156400839267472
10,0.6605577880130389
11,0.7793463378637897
12,0.3770432512337219
13,0.5193966022343142
14,0.3661791052944366
15,0.5733230289544152
16,0.5512833353863753
17,0.6728731860417932
18,0.04387372399646086
19,0.5142466996487486
20,0.9097141385422473
21,0.36887707196405883
22,0.5118766816371405
23,0.16915391724506132
24,0.025333964172534966
25,0.652932400566748
26,0.649515148425349
27,0.827804276805049
28,0.6143713397712399
29,0.9578817835760625
