,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,185,120956,9246,2738
1,5430,336335,18131,5637
2,965,141043,1483,2832
3,402,26337,33474,3021
4,641,23609,184139,3224
5,619,105304,9047,1363
6,550,917424,23580,4372
7,660,124524,306765,1586
8,643,160722,1374,1431
9,1648,360168,35231,12309
10,177,413788,55572,3491
11,683,360071,15654,4958
12,8511,26165,6378,3995
13,381,434877,11209,4485
14,331,150480,3552,13831
15,304,159663,12471,3945
16,521,262101,15923,5269
17,2488,553176,463525,2309
18,644,602747,2716,8243
19,3100,527360,8266,6135
20,417,19281,381903,6095
21,885,172248,8232,3219
22,594,36504,12804,2571
23,91,405658,4917,1540
24,467,808730,8331,2371
25,20286,158328,13787,13978
26,1760,162471,5689,4352
27,313,388701,12678,1745
28,342,464398,2226,5187
29,204,357235,6990,3062
