,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,9,378,436,17
1,95,344,498,34
2,16,418,368,20
3,1,484,439,18
4,11,442,431,27
5,12,354,423,9
6,9,490,272,33
7,35,407,388,12
8,3,458,90,12
9,28,350,395,60
10,1,391,258,27
11,13,451,421,32
12,159,494,305,35
13,2,500,417,27
14,5,434,137,55
15,92,443,403,37
16,11,379,495,36
17,45,457,442,17
18,3,397,104,41
19,54,437,385,45
20,6,368,480,43
21,5,473,343,25
22,6,164,408,19
23,3,383,466,9
24,7,459,306,17
25,351,454,309,83
26,27,440,408,33
27,3,359,420,29
28,6,343,214,34
29,2,446,152,21
