,MLP (ADAM)
0,0.3333238508710872
1,0.9113292900252309
2,0.04212880839488365
3,0.3812651513384475
4,0.8090671456660454
5,0.19588657089577688
6,0.3547079423573982
7,0.5301593854571369
8,0.9756360014781263
9,0.5745586668134327
10,0.5967458262610512
11,0.5388481651660418
12,0.31496218091337475
13,0.32606978365315836
14,0.6733441935854433
15,0.415463309291613
16,0.8543820740318744
17,0.8455884377592068
18,0.7700870632260808
19,0.9234717812313824
20,0.6447789207103967
21,0.048069628648036364
22,0.059244146995862
23,0.3965665347013121
24,0.04662284992759035
25,0.36245079561919236
26,0.10336353176260028
27,0.09376909046808939
28,0.7513760596285318
29,0.22496847560312608
