,MLP (SGD)
0,0.38945311607358324
1,0.8453380189322607
2,0.3043991101795442
3,0.7412481725296497
4,0.2611443053554011
5,0.38249840623753634
6,0.3099441048526276
7,0.6840965361140496
8,0.3810269444783995
9,0.04341137213391586
10,0.14978314396785142
11,0.8184932268374757
12,0.31936356295080465
13,0.5161640923380694
14,0.9113573537299496
15,0.30778610178978943
16,0.6810837827987363
17,0.41725690006994237
18,0.12463302295907999
19,0.34849177316198227
20,0.14857659381885366
21,0.21796738834074084
22,0.36712764504652146
23,0.5707032292744142
24,0.3462776475756179
25,0.15090105057656722
26,0.059022978608978025
27,0.9580342037615247
28,0.12124527018465636
29,0.1537642113625249
