,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,3,481,427,4
1,29,440,103,22
2,20,447,372,11
3,100,347,198,6
4,2,326,431,2
5,11,390,437,17
6,2,490,90,3
7,4,391,442,17
8,4,420,446,3
9,2,302,291,8
10,10,466,423,3
11,1,457,438,3
12,12,255,442,32
13,17,480,248,24
14,22,378,169,1
15,87,367,354,1
16,33,493,475,2
17,2,325,354,7
18,3,496,164,13
19,2,448,102,1
20,17,172,409,12
21,9,395,443,2
22,21,483,400,1
23,56,418,334,4
24,16,485,355,6
25,1,420,416,2
26,32,490,255,17
27,3,445,318,21
28,3,477,383,6
29,1,398,312,3
