,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,41,482,153,38
1,30,1353,89,73
2,21,3133,567,38
3,101,348,110,40
4,9,970,153,15
5,12,3557,115,55
6,3,2491,162,14
7,18,1210,424,58
8,13,2975,238,22
9,3,303,131,48
10,11,2343,763,21
11,13,2309,891,32
12,13,256,361,177
13,18,481,631,77
14,23,1139,581,9
15,88,368,908,10
16,37,494,1375,12
17,22,980,156,31
18,23,1504,83,42
19,12,3163,76,8
20,18,525,712,37
21,10,396,393,17
22,26,4365,301,9
23,57,2131,1627,28
24,41,3398,250,26
25,10,421,326,12
26,33,1487,144,55
27,15,2228,813,72
28,4,478,1129,24
29,20,399,889,28
