,MLP (ADAM)
0,0.7951468492519558
1,0.4811907474907921
2,0.6291843385203006
3,0.49140915412069325
4,0.083118874400576
5,0.37310594579610035
6,0.4231290370915635
7,0.6226871680968225
8,0.9265921224730828
9,0.9859320656094587
10,0.9384964401891057
11,0.8299047075477891
12,0.5461206074812524
13,0.6613952629971893
14,0.9508535112366621
15,0.5532987027189818
16,0.042627848624081706
17,0.8616035719096561
18,0.9221232659954169
19,0.4650369432692247
20,0.09490064283904293
21,0.3835433869681864
22,0.6330207551967622
23,0.5154989194753846
24,0.2361416215341977
25,0.0828320942152687
26,0.44898964813008296
27,0.3058409463376377
28,0.5263975599656171
29,0.7280683556504688
