,MLP (SGD)
0,0.9760723010387182
1,0.5068574607241922
2,0.501876224288498
3,0.305000572080204
4,0.3031783727464268
5,0.7582137488507755
6,0.31170953402043705
7,0.3091887690462438
8,0.011592085778389867
9,0.14898922754096647
10,0.7457046018154815
11,0.26508556911027426
12,0.9543615612452195
13,0.3591257369050546
14,0.46025198407996853
15,0.20504145460367845
16,0.34881855286299607
17,0.9796938935695642
18,0.39681674751978235
19,0.6548609379043986
20,0.8649285554101398
21,0.7593001460309107
22,0.8275243370776094
23,0.010805529149636967
24,0.47570283251656853
25,0.8367728467535336
26,0.8201610347591899
27,0.561728754259033
28,0.3777727329460271
29,0.5121923688071536
