,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,99,331261,3860,130
1,114,105377,3797,64
2,211,494631,7446,55
3,112,378561,5929,68
4,512,5273,253575,163
5,23,473511,1141,41
6,169,120189,23757,23
7,62,864787,7551,68
8,44,314272,91728,41
9,185,97899,13577,127
10,208,134984,90581,57
11,229,158990,352863,154
12,151,7345,37107,96
13,55,84377,1588,26
14,248,6736,21572,80
15,114,371759,50458,53
16,564,87241,29723,66
17,39,389666,18727,144
18,196,6732,39061,8
19,162,426802,9059,65
20,8383,5681,43624,78
21,303,203292,8889,27
22,297,132230,66007,69
23,46,136907,117426,112
24,109,131056,20016,88
25,141,412921,1964,99
26,174,125976,58287,129
27,102,403378,18819,118
28,119,401609,59490,67
29,32,650564,118692,54
