,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,1,447,412,3
1,1,403,306,3
2,13,433,385,2
3,1,378,435,4
4,13,352,490,3
5,1,422,430,1
6,3,441,238,1
7,2,496,269,3
8,1,434,471,3
9,12,401,286,1
10,12,455,374,3
11,3,496,489,8
12,1,475,372,2
13,2,363,437,1
14,12,457,277,5
15,1,490,265,3
16,33,367,389,3
17,2,486,475,2
18,13,456,485,1
19,2,405,201,3
20,500,382,499,1
21,20,350,382,1
22,4,457,425,3
23,1,488,269,6
24,5,460,236,1
25,1,396,318,1
26,2,448,421,9
27,2,493,251,1
28,1,491,455,5
29,1,491,276,3
