,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,8,2246,282,19
1,9,1229,265,4
2,14,3040,321,3
3,13,2641,280,5
4,43,353,2375,17
5,4,2962,94,2
6,19,1326,632,2
7,3,4436,289,4
8,10,2192,1276,4
9,13,1194,403,13
10,13,1397,1305,4
11,25,1514,2850,9
12,18,476,802,9
13,3,1117,113,2
14,38,458,613,6
15,23,2467,1027,4
16,34,1118,700,4
17,3,2456,609,13
18,14,457,921,2
19,18,2816,371,4
20,501,383,878,10
21,21,1754,399,2
22,39,1378,1100,4
23,6,1443,1579,7
24,6,1381,510,8
25,22,2776,175,8
26,25,1369,947,10
27,19,2524,508,10
28,10,2499,934,6
29,4,3433,1343,4
