,MLP (ADAM),MLP (SGD)
0,"{'solver': 'adam', 'learning_rate_init': 2.2623488347586065, 'activation': 'tanh', 'hidden_layer_sizes': (57, 54), 'alpha': 2.6810732767242307, 'max_iter': 32, 'batch_size': 79, 'shuffle': True, 'beta_1': 0.9431197113781233, 'beta_2': 0.8288111212063314}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.51630749984824, 'activation': 'logistic', 'hidden_layer_sizes': (141, 199), 'alpha': 3.4778859759419203, 'max_iter': 460, 'batch_size': 83, 'shuffle': True, 'momentum': 0.5503971977662399, 'nesterovs_momentum': True}"
1,"{'solver': 'adam', 'learning_rate_init': 4.903419825197236, 'activation': 'logistic', 'hidden_layer_sizes': (171, 108, 192, 148), 'alpha': 0.3367663957503764, 'max_iter': 121, 'batch_size': 67, 'shuffle': True, 'beta_1': 0.6014678809706243, 'beta_2': 0.27854676965557473}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.549459804373903, 'activation': 'relu', 'hidden_layer_sizes': (110, 82, 137, 7, 167), 'alpha': 3.9575120500528804, 'max_iter': 289, 'batch_size': 65, 'shuffle': True, 'momentum': 0.883579946005846, 'nesterovs_momentum': False}"
2,"{'solver': 'adam', 'learning_rate_init': 6.62588841846918, 'activation': 'tanh', 'hidden_layer_sizes': (9, 92, 86), 'alpha': 8.885958605642402, 'max_iter': 61, 'batch_size': 70, 'shuffle': False, 'beta_1': 0.3903449325394926, 'beta_2': 0.7590888265453491}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 7.679785334492729, 'activation': 'logistic', 'hidden_layer_sizes': (52, 114), 'alpha': 1.518615304868587, 'max_iter': 126, 'batch_size': 85, 'shuffle': True, 'momentum': 0.8101230173490124, 'nesterovs_momentum': False}"
3,"{'solver': 'adam', 'learning_rate_init': 6.322347535908347, 'activation': 'tanh', 'hidden_layer_sizes': (149, 72, 6, 116), 'alpha': 0.3158419837392965, 'max_iter': 31, 'batch_size': 83, 'shuffle': False, 'beta_1': 0.30984522718441926, 'beta_2': 0.133842753964151}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.504767028472427, 'activation': 'logistic', 'hidden_layer_sizes': (112,), 'alpha': 5.487665039445544, 'max_iter': 180, 'batch_size': 76, 'shuffle': True, 'momentum': 0.3324263503651645, 'nesterovs_momentum': False}"
4,"{'solver': 'adam', 'learning_rate_init': 1.2972627270676826, 'activation': 'logistic', 'hidden_layer_sizes': (153, 118, 44, 78), 'alpha': 5.208429164185499, 'max_iter': 419, 'batch_size': 79, 'shuffle': True, 'beta_1': 0.3833534206365564, 'beta_2': 0.9654794395326303}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.7067240973545776, 'activation': 'tanh', 'hidden_layer_sizes': (191, 88), 'alpha': 1.3719373995302753, 'max_iter': 367, 'batch_size': 84, 'shuffle': False, 'momentum': 0.7380884015349465, 'nesterovs_momentum': False}"
5,"{'solver': 'adam', 'learning_rate_init': 5.384805729828859, 'activation': 'logistic', 'hidden_layer_sizes': (14, 36), 'alpha': 8.88306751867896, 'max_iter': 126, 'batch_size': 64, 'shuffle': True, 'beta_1': 0.8844918016828782, 'beta_2': 0.38225194374283195}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.364126674624578, 'activation': 'logistic', 'hidden_layer_sizes': (3, 69, 179), 'alpha': 0.9953295605443161, 'max_iter': 214, 'batch_size': 74, 'shuffle': True, 'momentum': 0.5758189325963623, 'nesterovs_momentum': False}"
6,"{'solver': 'adam', 'learning_rate_init': 6.973218835589974, 'activation': 'tanh', 'hidden_layer_sizes': (36, 94, 81, 173, 139), 'alpha': 8.065553884985546, 'max_iter': 47, 'batch_size': 51, 'shuffle': False, 'beta_1': 0.5523319119485708, 'beta_2': 0.6515467753970562}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6521295577118594, 'activation': 'tanh', 'hidden_layer_sizes': (73, 141, 64, 30), 'alpha': 7.089550243964915, 'max_iter': 350, 'batch_size': 68, 'shuffle': True, 'momentum': 0.30093754197972356, 'nesterovs_momentum': True}"
7,"{'solver': 'adam', 'learning_rate_init': 8.767958449982288, 'activation': 'logistic', 'hidden_layer_sizes': (95,), 'alpha': 5.604016582204892, 'max_iter': 247, 'batch_size': 50, 'shuffle': False, 'beta_1': 0.6423768161102307, 'beta_2': 0.43646592988362}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.40499068343126815, 'activation': 'relu', 'hidden_layer_sizes': (18, 183, 35, 183), 'alpha': 5.70794167548414, 'max_iter': 341, 'batch_size': 70, 'shuffle': True, 'momentum': 0.524932696454203, 'nesterovs_momentum': True}"
8,"{'solver': 'adam', 'learning_rate_init': 0.7578646482069762, 'activation': 'tanh', 'hidden_layer_sizes': (97, 163, 149, 62, 120), 'alpha': 5.569804483883923, 'max_iter': 185, 'batch_size': 54, 'shuffle': True, 'beta_1': 0.3168331616626494, 'beta_2': 0.66744740394744}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.5735167044515603, 'activation': 'logistic', 'hidden_layer_sizes': (44, 145), 'alpha': 9.859593193249172, 'max_iter': 253, 'batch_size': 67, 'shuffle': False, 'momentum': 0.38153338790547026, 'nesterovs_momentum': False}"
9,"{'solver': 'adam', 'learning_rate_init': 7.405246126441452, 'activation': 'relu', 'hidden_layer_sizes': (86, 69, 156, 149, 158), 'alpha': 9.21101102693765, 'max_iter': 101, 'batch_size': 54, 'shuffle': True, 'beta_1': 0.42997795407095135, 'beta_2': 0.6427258666555832}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.7820785447733, 'activation': 'logistic', 'hidden_layer_sizes': (69, 146, 29), 'alpha': 6.997236391168306, 'max_iter': 293, 'batch_size': 65, 'shuffle': True, 'momentum': 0.745977380296711, 'nesterovs_momentum': False}"
10,"{'solver': 'adam', 'learning_rate_init': 5.0440476788992665, 'activation': 'logistic', 'hidden_layer_sizes': (117,), 'alpha': 0.9162592065175343, 'max_iter': 86, 'batch_size': 75, 'shuffle': True, 'beta_1': 0.3392407424495431, 'beta_2': 0.16169203078951472}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.056820617484727, 'activation': 'tanh', 'hidden_layer_sizes': (97, 66, 194, 179), 'alpha': 7.162197255007019, 'max_iter': 393, 'batch_size': 66, 'shuffle': False, 'momentum': 0.7390086003688395, 'nesterovs_momentum': False}"
11,"{'solver': 'adam', 'learning_rate_init': 2.316640661948617, 'activation': 'tanh', 'hidden_layer_sizes': (75,), 'alpha': 1.3368356346013053, 'max_iter': 319, 'batch_size': 58, 'shuffle': True, 'beta_1': 0.24460809956199758, 'beta_2': 0.8243706256210288}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.1258991269366, 'activation': 'relu', 'hidden_layer_sizes': (195, 53, 137, 85, 145), 'alpha': 8.085428839794671, 'max_iter': 274, 'batch_size': 56, 'shuffle': True, 'momentum': 0.6181082592474486, 'nesterovs_momentum': False}"
