,MLP
0,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.51630749984824, 'activation': 'logistic', 'hidden_layer_sizes': (141, 199), 'alpha': 3.4778859759419203, 'max_iter': 460, 'batch_size': 83, 'shuffle': True, 'momentum': 0.5503971977662399, 'nesterovs_momentum': True}"
1,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.549459804373903, 'activation': 'relu', 'hidden_layer_sizes': (110, 82, 137, 7, 167), 'alpha': 3.9575120500528804, 'max_iter': 289, 'batch_size': 65, 'shuffle': True, 'momentum': 0.883579946005846, 'nesterovs_momentum': False}"
2,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 7.679785334492729, 'activation': 'logistic', 'hidden_layer_sizes': (52, 114), 'alpha': 1.518615304868587, 'max_iter': 126, 'batch_size': 85, 'shuffle': True, 'momentum': 0.8101230173490124, 'nesterovs_momentum': False}"
3,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.504767028472427, 'activation': 'logistic', 'hidden_layer_sizes': (112,), 'alpha': 5.487665039445544, 'max_iter': 180, 'batch_size': 76, 'shuffle': True, 'momentum': 0.3324263503651645, 'nesterovs_momentum': False}"
4,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.7067240973545776, 'activation': 'tanh', 'hidden_layer_sizes': (191, 88), 'alpha': 1.3719373995302753, 'max_iter': 367, 'batch_size': 84, 'shuffle': False, 'momentum': 0.7380884015349465, 'nesterovs_momentum': False}"
5,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.364126674624578, 'activation': 'logistic', 'hidden_layer_sizes': (3, 69, 179), 'alpha': 0.9953295605443161, 'max_iter': 214, 'batch_size': 74, 'shuffle': True, 'momentum': 0.5758189325963623, 'nesterovs_momentum': False}"
6,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6521295577118594, 'activation': 'tanh', 'hidden_layer_sizes': (73, 141, 64, 30), 'alpha': 7.089550243964915, 'max_iter': 350, 'batch_size': 68, 'shuffle': True, 'momentum': 0.30093754197972356, 'nesterovs_momentum': True}"
7,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.40499068343126815, 'activation': 'relu', 'hidden_layer_sizes': (18, 183, 35, 183), 'alpha': 5.70794167548414, 'max_iter': 341, 'batch_size': 70, 'shuffle': True, 'momentum': 0.524932696454203, 'nesterovs_momentum': True}"
8,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.5735167044515603, 'activation': 'logistic', 'hidden_layer_sizes': (44, 145), 'alpha': 9.859593193249172, 'max_iter': 253, 'batch_size': 67, 'shuffle': False, 'momentum': 0.38153338790547026, 'nesterovs_momentum': False}"
9,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.7820785447733, 'activation': 'logistic', 'hidden_layer_sizes': (69, 146, 29), 'alpha': 6.997236391168306, 'max_iter': 293, 'batch_size': 65, 'shuffle': True, 'momentum': 0.745977380296711, 'nesterovs_momentum': False}"
