,MLP (ADAM)
0,0.8288111212063314
1,0.27854676965557473
2,0.7590888265453491
3,0.133842753964151
4,0.9654794395326303
5,0.38225194374283195
6,0.6515467753970562
7,0.43646592988362
8,0.66744740394744
9,0.6427258666555832
10,0.16169203078951472
11,0.8243706256210288
12,0.5929002004939128
13,0.0491912167868262
14,0.9349015132237611
15,0.5762124339886625
16,0.6451795822863922
17,0.5078014138451565
18,0.9590392977818409
19,0.5370108862732021
20,0.8224405103059413
21,0.852407740521047
22,0.4339498216620076
23,0.45853646856389674
24,0.699090681149416
25,0.24270796572452874
26,0.45731713075548563
27,0.30301449387052687
28,0.7206823649760189
29,0.4369551287004031
