,MLP (SGD)
0,0.5503971977662399
1,0.883579946005846
2,0.8101230173490124
3,0.3324263503651645
4,0.7380884015349465
5,0.5758189325963623
6,0.30093754197972356
7,0.524932696454203
8,0.38153338790547026
9,0.745977380296711
10,0.7390086003688395
11,0.6181082592474486
12,0.43517552565393075
13,0.9015310468347755
14,0.9796745533910725
15,0.7425711723927709
16,0.4780341710860734
17,0.62165027457025
18,0.604196874588979
19,0.2584252735861618
20,0.8734526308130199
21,0.5819500674125435
22,0.8861684268250504
23,0.41501686479537736
24,0.499820136642897
25,0.4096797048907805
26,0.16971379632339928
27,0.1242808204643291
28,0.8776144434398132
29,0.10066345690566682
