,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,"{'stopping_criterion': TIE_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 9.491731389422064, 'maximum_neuron_connection_weight': 0.3404878311683979, 'maximum_bias_connection_weight': 0.9432158756098619, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DCBC630FC8>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}","{'stopping_criterion': MaxGen_36, 'population_size': 10, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.11214260437619955, 'maximum_bias_connection_weight': 0.45256464056561196, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DCBC81BBC8>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}","{'stopping_criterion': MaxGen_264, 'population_size': 10, 'layers': 5, 'learning_step': 2.56322284409891, 'maximum_neuron_connection_weight': 0.49974190175949074, 'maximum_bias_connection_weight': 0.5772283099355999, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DB8C04D3C8>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.4390426690932977, 'maximum_bias_connection_weight': 0.9462101645574615, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DB9EE01588>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
1,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 5.50978432364397, 'maximum_neuron_connection_weight': 0.2567751770884309, 'maximum_bias_connection_weight': 0.6387736114728532, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DCBC660BC8>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}","{'stopping_criterion': MaxGen_66, 'population_size': 10, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.1986745184186486, 'maximum_bias_connection_weight': 0.8259409313238166, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DCBB463908>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}","{'stopping_criterion': MaxGen_492, 'population_size': 10, 'layers': 5, 'learning_step': 3.2877321101281316, 'maximum_neuron_connection_weight': 0.16992030900454003, 'maximum_bias_connection_weight': 0.8593501416437109, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DB8C295DC8>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.19633533291126515, 'maximum_bias_connection_weight': 0.11688987380225609, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DB9EE20288>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
2,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 1.2164195645939913, 'maximum_neuron_connection_weight': 0.43260488392387997, 'maximum_bias_connection_weight': 0.17239505473991767, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DCBC6BE708>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}","{'stopping_criterion': MaxGen_155, 'population_size': 10, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.2538735048391866, 'maximum_bias_connection_weight': 0.2209778698032393, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DCBB56CE08>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}","{'stopping_criterion': MaxGen_210, 'population_size': 10, 'layers': 5, 'learning_step': 0.4302693920420782, 'maximum_neuron_connection_weight': 0.17134217101442042, 'maximum_bias_connection_weight': 0.5087625087890911, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DB8C973488>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.40844557910568446, 'maximum_bias_connection_weight': 0.38974534742830247, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DB9EE36488>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
3,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 1.35553753705265, 'maximum_neuron_connection_weight': 0.15747046941454168, 'maximum_bias_connection_weight': 0.7787944234828298, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DCBC6C4308>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}","{'stopping_criterion': MaxGen_119, 'population_size': 10, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.4083962414766359, 'maximum_bias_connection_weight': 0.45414882000165013, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DCBBC0D5C8>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}","{'stopping_criterion': MaxGen_370, 'population_size': 10, 'layers': 5, 'learning_step': 5.306831630357819, 'maximum_neuron_connection_weight': 0.2399123015314799, 'maximum_bias_connection_weight': 0.9815614986835486, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DB8C9E48C8>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.29778485728401183, 'maximum_bias_connection_weight': 0.6231721054267967, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DB9EE48748>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
4,"{'stopping_criterion': TIE_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 4.157453183683292, 'maximum_neuron_connection_weight': 0.4856964413521213, 'maximum_bias_connection_weight': 0.10100164408966487, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DCBC6FDF88>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}","{'stopping_criterion': MaxGen_92, 'population_size': 10, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.11744309492470971, 'maximum_bias_connection_weight': 0.8682919863849432, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DCBB0CFB88>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}","{'stopping_criterion': MaxGen_243, 'population_size': 10, 'layers': 5, 'learning_step': 2.9316218762125508, 'maximum_neuron_connection_weight': 0.2207460361393157, 'maximum_bias_connection_weight': 0.4302401870204685, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DB8CB0DB08>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.48017941550150656, 'maximum_bias_connection_weight': 0.9019271925705828, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DB9EE53F08>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
5,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 5.3073135481261575, 'maximum_neuron_connection_weight': 0.19708041384724845, 'maximum_bias_connection_weight': 0.20681418620724734, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DCBC744F48>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}","{'stopping_criterion': MaxGen_58, 'population_size': 10, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.2194473207247472, 'maximum_bias_connection_weight': 0.1892046447063352, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DCBBA56C48>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}","{'stopping_criterion': MaxGen_469, 'population_size': 10, 'layers': 5, 'learning_step': 5.615851249988972, 'maximum_neuron_connection_weight': 0.2102864857653335, 'maximum_bias_connection_weight': 0.562092290008118, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DB8CE70D48>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.40966643930236546, 'maximum_bias_connection_weight': 0.5268422811550649, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DB9EE6F048>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
6,"{'stopping_criterion': TIE_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 3.9329979046226216, 'maximum_neuron_connection_weight': 0.11799111082037693, 'maximum_bias_connection_weight': 0.5628014127940102, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DCBC7585C8>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}","{'stopping_criterion': MaxGen_31, 'population_size': 10, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.2030055057382618, 'maximum_bias_connection_weight': 0.6722420773944392, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DCBBAE5F08>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}","{'stopping_criterion': MaxGen_445, 'population_size': 10, 'layers': 5, 'learning_step': 3.6536427936699454, 'maximum_neuron_connection_weight': 0.3251850998933854, 'maximum_bias_connection_weight': 0.1920812902518364, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DB8D068C88>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.3896105108351605, 'maximum_bias_connection_weight': 0.43650551086777667, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DB9EE78C08>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
7,"{'stopping_criterion': TIE_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 4.273234784890541, 'maximum_neuron_connection_weight': 0.1740393969398414, 'maximum_bias_connection_weight': 0.6500711220588501, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DCBC76E908>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}","{'stopping_criterion': MaxGen_5, 'population_size': 10, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.49847014769029363, 'maximum_bias_connection_weight': 0.2704865339288846, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DCB8E3F7C8>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}","{'stopping_criterion': MaxGen_219, 'population_size': 10, 'layers': 5, 'learning_step': 7.74114346916518, 'maximum_neuron_connection_weight': 0.2071783926487985, 'maximum_bias_connection_weight': 0.7747353375764454, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DB8D186E88>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.19316553088178323, 'maximum_bias_connection_weight': 0.2736509178725327, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DB9EE8E448>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
8,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 3.151155959890358, 'maximum_neuron_connection_weight': 0.1795959093255336, 'maximum_bias_connection_weight': 0.7902025904307725, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DCBC7862C8>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}","{'stopping_criterion': MaxGen_51, 'population_size': 10, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.2992615475660597, 'maximum_bias_connection_weight': 0.17208895358477688, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DCBC380DC8>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}","{'stopping_criterion': MaxGen_442, 'population_size': 10, 'layers': 5, 'learning_step': 0.5721993475053951, 'maximum_neuron_connection_weight': 0.1257434062865319, 'maximum_bias_connection_weight': 0.20303941366140932, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DB8E150C48>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.45212684360360267, 'maximum_bias_connection_weight': 0.15909744742436163, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DB9EEB0688>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
9,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 2.0818885030618466, 'maximum_neuron_connection_weight': 0.1701736844394115, 'maximum_bias_connection_weight': 0.45049963653647296, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DCBC7AF108>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}","{'stopping_criterion': MaxGen_130, 'population_size': 10, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.15873321214222424, 'maximum_bias_connection_weight': 0.5320431842004798, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DCBB1A7E48>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}","{'stopping_criterion': MaxGen_205, 'population_size': 10, 'layers': 5, 'learning_step': 7.241466740182064, 'maximum_neuron_connection_weight': 0.2729730226236422, 'maximum_bias_connection_weight': 0.3973338551755805, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DB8E2B2C88>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.3602104287014555, 'maximum_bias_connection_weight': 0.46825145255269396, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DB9EEC3488>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
