,SLM
0,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.4390426690932977, 'maximum_bias_connection_weight': 0.9462101645574615, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DB9EE01588>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
1,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.19633533291126515, 'maximum_bias_connection_weight': 0.11688987380225609, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DB9EE20288>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
2,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.40844557910568446, 'maximum_bias_connection_weight': 0.38974534742830247, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DB9EE36488>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
3,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.29778485728401183, 'maximum_bias_connection_weight': 0.6231721054267967, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DB9EE48748>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
4,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.48017941550150656, 'maximum_bias_connection_weight': 0.9019271925705828, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DB9EE53F08>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
5,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.40966643930236546, 'maximum_bias_connection_weight': 0.5268422811550649, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DB9EE6F048>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
6,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.3896105108351605, 'maximum_bias_connection_weight': 0.43650551086777667, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DB9EE78C08>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
7,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.19316553088178323, 'maximum_bias_connection_weight': 0.2736509178725327, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DB9EE8E448>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
8,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.45212684360360267, 'maximum_bias_connection_weight': 0.15909744742436163, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DB9EEB0688>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
9,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.3602104287014555, 'maximum_bias_connection_weight': 0.46825145255269396, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DB9EEC3488>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
