,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,119,3505,3915,15
1,111,5018,4106,140
2,600,2925,13319,106
3,171,59296,631,65
4,129,8004,1814,29
5,334,4261,6306,80
6,91,2084,3373,28
7,116,224,1787,76
8,51,12738,31855,164
9,203,2384,2233,46
10,45,32872,1876,202
11,216,74087,457,128
12,95,4080,6407,95
13,55,21297,5041,23
14,125,8227,3408,187
15,160,1145,887,15
16,105,5977,7035,21
17,33,727,4612,13
18,89,2978,18715,64
19,89,32090,422133,27
20,208,72709,749,192
21,193,120372,694,77
22,143,11717,2308,37
23,243,70030,781,39
24,271,369,1522,45
25,77,998,1514,107
26,176,1527,2688,124
27,88,4822,1110,21
28,131,320,752,65
29,72,4425,830,18
