,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,1,36,264,1
1,1,66,492,1
2,7,155,210,1
3,2,119,370,2
4,1,92,243,1
5,17,58,469,1
6,1,31,445,3
7,1,5,219,3
8,1,51,442,1
9,4,130,205,2
10,1,205,416,1
11,11,328,58,1
12,1,221,490,1
13,1,165,205,1
14,1,89,473,4
15,2,15,243,2
16,1,77,498,1
17,1,12,368,1
18,3,44,379,2
19,1,213,400,1
20,1,209,228,3
21,10,265,73,2
22,2,116,452,1
23,3,156,247,2
24,2,19,350,2
25,1,59,270,1
26,1,17,214,1
27,1,66,369,1
28,2,7,120,2
29,1,228,480,1
