,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,21,180,245,2
1,17,192,231,10
2,50,156,401,8
3,15,1097,47,3
4,15,287,139,2
5,41,181,287,13
6,14,98,186,4
7,13,18,87,4
8,6,472,742,22
9,22,131,158,3
10,5,639,127,10
11,19,1001,49,9
12,13,222,319,8
13,6,481,209,2
14,18,271,179,15
15,25,78,52,3
16,17,235,287,2
17,2,48,257,2
18,16,138,557,3
19,16,628,2839,5
20,25,1037,50,13
21,11,1338,63,3
22,13,351,175,2
23,33,1115,86,3
24,33,20,91,3
25,10,60,123,14
26,19,124,150,8
27,16,192,73,2
28,21,23,81,3
29,5,229,90,2
