,MLP (ADAM),MLP (SGD)
0,"{'solver': 'adam', 'learning_rate_init': 8.66823586483963, 'activation': 'logistic', 'hidden_layer_sizes': (124, 182, 44), 'alpha': 3.9901468448414708, 'max_iter': 181, 'batch_size': 79, 'shuffle': False, 'beta_1': 0.6985562166410789, 'beta_2': 0.3875421393887876}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.43928168652487, 'activation': 'logistic', 'hidden_layer_sizes': (47, 99, 76), 'alpha': 9.294618117152421, 'max_iter': 461, 'batch_size': 192, 'shuffle': True, 'momentum': 0.19237421460164084, 'nesterovs_momentum': False}"
1,"{'solver': 'adam', 'learning_rate_init': 3.1005595502715293, 'activation': 'logistic', 'hidden_layer_sizes': (116, 150), 'alpha': 7.091221977276627, 'max_iter': 495, 'batch_size': 238, 'shuffle': False, 'beta_1': 0.4001825751207746, 'beta_2': 0.31217604795455905}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.842072084062728, 'activation': 'relu', 'hidden_layer_sizes': (14, 79, 142, 186, 15), 'alpha': 1.680485183914205, 'max_iter': 360, 'batch_size': 67, 'shuffle': True, 'momentum': 0.2285756032493171, 'nesterovs_momentum': False}"
2,"{'solver': 'adam', 'learning_rate_init': 0.15313252324038307, 'activation': 'relu', 'hidden_layer_sizes': (95,), 'alpha': 2.3844706899138437, 'max_iter': 245, 'batch_size': 125, 'shuffle': False, 'beta_1': 0.6199083514817515, 'beta_2': 0.3461073229637077}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.242006253449612, 'activation': 'logistic', 'hidden_layer_sizes': (7,), 'alpha': 6.029892624769132, 'max_iter': 362, 'batch_size': 224, 'shuffle': False, 'momentum': 0.508776602114132, 'nesterovs_momentum': False}"
3,"{'solver': 'adam', 'learning_rate_init': 4.308637161405206, 'activation': 'logistic', 'hidden_layer_sizes': (55,), 'alpha': 2.4683693664004305, 'max_iter': 393, 'batch_size': 77, 'shuffle': False, 'beta_1': 0.847743699068431, 'beta_2': 0.8243075313988523}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.702856044622673, 'activation': 'logistic', 'hidden_layer_sizes': (174, 104), 'alpha': 1.3842323438516702, 'max_iter': 295, 'batch_size': 126, 'shuffle': True, 'momentum': 0.699200440264403, 'nesterovs_momentum': True}"
4,"{'solver': 'adam', 'learning_rate_init': 3.4098258823568965, 'activation': 'relu', 'hidden_layer_sizes': (78, 73, 171), 'alpha': 4.494843455892485, 'max_iter': 321, 'batch_size': 202, 'shuffle': False, 'beta_1': 0.10926758083588617, 'beta_2': 0.3345261034967274}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.727431795708716, 'activation': 'relu', 'hidden_layer_sizes': (181, 81, 43, 109, 78), 'alpha': 3.449891613186209, 'max_iter': 302, 'batch_size': 121, 'shuffle': True, 'momentum': 0.8459487061668763, 'nesterovs_momentum': False}"
5,"{'solver': 'adam', 'learning_rate_init': 9.182141292104964, 'activation': 'relu', 'hidden_layer_sizes': (98, 169), 'alpha': 1.5171029337111437, 'max_iter': 322, 'batch_size': 126, 'shuffle': False, 'beta_1': 0.19024551907559376, 'beta_2': 0.08610604714169999}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5903254823884146, 'activation': 'relu', 'hidden_layer_sizes': (150, 199), 'alpha': 3.1956001668656877, 'max_iter': 365, 'batch_size': 259, 'shuffle': False, 'momentum': 0.1564573104559503, 'nesterovs_momentum': True}"
6,"{'solver': 'adam', 'learning_rate_init': 3.614558796566587, 'activation': 'relu', 'hidden_layer_sizes': (164,), 'alpha': 6.4217502098295585, 'max_iter': 451, 'batch_size': 231, 'shuffle': True, 'beta_1': 0.6740813586344031, 'beta_2': 0.5222419991074418}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.1446655842612894, 'activation': 'tanh', 'hidden_layer_sizes': (40,), 'alpha': 0.7396223388449674, 'max_iter': 423, 'batch_size': 115, 'shuffle': False, 'momentum': 0.009557046174728608, 'nesterovs_momentum': True}"
7,"{'solver': 'adam', 'learning_rate_init': 5.2317926847096565, 'activation': 'relu', 'hidden_layer_sizes': (168, 200), 'alpha': 7.710794072774669, 'max_iter': 252, 'batch_size': 185, 'shuffle': True, 'beta_1': 0.7295313682551435, 'beta_2': 0.14010421887805088}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 7.036877992857351, 'activation': 'logistic', 'hidden_layer_sizes': (58, 181, 144, 22), 'alpha': 0.39610235855578424, 'max_iter': 261, 'batch_size': 162, 'shuffle': False, 'momentum': 0.7634068586752927, 'nesterovs_momentum': False}"
8,"{'solver': 'adam', 'learning_rate_init': 9.62874907682563, 'activation': 'relu', 'hidden_layer_sizes': (99,), 'alpha': 9.017561384145584, 'max_iter': 115, 'batch_size': 182, 'shuffle': False, 'beta_1': 0.9446138932302705, 'beta_2': 0.18931560114281887}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.8405900669499, 'activation': 'logistic', 'hidden_layer_sizes': (107,), 'alpha': 6.883296091002868, 'max_iter': 153, 'batch_size': 188, 'shuffle': True, 'momentum': 0.82611309739228, 'nesterovs_momentum': True}"
9,"{'solver': 'adam', 'learning_rate_init': 8.55066822059366, 'activation': 'tanh', 'hidden_layer_sizes': (42, 14, 122, 144), 'alpha': 6.409441219821343, 'max_iter': 20, 'batch_size': 72, 'shuffle': True, 'beta_1': 0.15340759842631155, 'beta_2': 0.8083545900745295}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.2037718346557496, 'activation': 'relu', 'hidden_layer_sizes': (123, 23), 'alpha': 2.4161179421057204, 'max_iter': 125, 'batch_size': 220, 'shuffle': False, 'momentum': 0.22809955445328972, 'nesterovs_momentum': True}"
