,MLP
0,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.43928168652487, 'activation': 'logistic', 'hidden_layer_sizes': (47, 99, 76), 'alpha': 9.294618117152421, 'max_iter': 461, 'batch_size': 192, 'shuffle': True, 'momentum': 0.19237421460164084, 'nesterovs_momentum': False}"
1,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.842072084062728, 'activation': 'relu', 'hidden_layer_sizes': (14, 79, 142, 186, 15), 'alpha': 1.680485183914205, 'max_iter': 360, 'batch_size': 67, 'shuffle': True, 'momentum': 0.2285756032493171, 'nesterovs_momentum': False}"
2,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.242006253449612, 'activation': 'logistic', 'hidden_layer_sizes': (7,), 'alpha': 6.029892624769132, 'max_iter': 362, 'batch_size': 224, 'shuffle': False, 'momentum': 0.508776602114132, 'nesterovs_momentum': False}"
3,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.702856044622673, 'activation': 'logistic', 'hidden_layer_sizes': (174, 104), 'alpha': 1.3842323438516702, 'max_iter': 295, 'batch_size': 126, 'shuffle': True, 'momentum': 0.699200440264403, 'nesterovs_momentum': True}"
4,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.727431795708716, 'activation': 'relu', 'hidden_layer_sizes': (181, 81, 43, 109, 78), 'alpha': 3.449891613186209, 'max_iter': 302, 'batch_size': 121, 'shuffle': True, 'momentum': 0.8459487061668763, 'nesterovs_momentum': False}"
5,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5903254823884146, 'activation': 'relu', 'hidden_layer_sizes': (150, 199), 'alpha': 3.1956001668656877, 'max_iter': 365, 'batch_size': 259, 'shuffle': False, 'momentum': 0.1564573104559503, 'nesterovs_momentum': True}"
6,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.1446655842612894, 'activation': 'tanh', 'hidden_layer_sizes': (40,), 'alpha': 0.7396223388449674, 'max_iter': 423, 'batch_size': 115, 'shuffle': False, 'momentum': 0.009557046174728608, 'nesterovs_momentum': True}"
7,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 7.036877992857351, 'activation': 'logistic', 'hidden_layer_sizes': (58, 181, 144, 22), 'alpha': 0.39610235855578424, 'max_iter': 261, 'batch_size': 162, 'shuffle': False, 'momentum': 0.7634068586752927, 'nesterovs_momentum': False}"
8,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.8405900669499, 'activation': 'logistic', 'hidden_layer_sizes': (107,), 'alpha': 6.883296091002868, 'max_iter': 153, 'batch_size': 188, 'shuffle': True, 'momentum': 0.82611309739228, 'nesterovs_momentum': True}"
9,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.2037718346557496, 'activation': 'relu', 'hidden_layer_sizes': (123, 23), 'alpha': 2.4161179421057204, 'max_iter': 125, 'batch_size': 220, 'shuffle': False, 'momentum': 0.22809955445328972, 'nesterovs_momentum': True}"
