,MLP (ADAM)
0,0.3875421393887876
1,0.31217604795455905
2,0.3461073229637077
3,0.8243075313988523
4,0.3345261034967274
5,0.08610604714169999
6,0.5222419991074418
7,0.14010421887805088
8,0.18931560114281887
9,0.8083545900745295
10,0.09548398947870812
11,0.7579777155479237
12,0.494724240162169
13,0.1223256955380448
14,0.23280544313219406
15,0.27953900462919073
16,0.7967036300237297
17,0.36717330540965987
18,0.5825811488285458
19,0.2595125127455878
20,0.19088767271251345
21,0.4533697913496549
22,0.3531000096414093
23,0.14015823721434711
24,0.4027762337743959
25,0.3922449379662129
26,0.5157910852363755
27,0.09213078093098555
28,0.8958465480072673
29,0.9262769414209728
