,MLP (SGD)
0,0.19237421460164084
1,0.2285756032493171
2,0.508776602114132
3,0.699200440264403
4,0.8459487061668763
5,0.1564573104559503
6,0.009557046174728608
7,0.7634068586752927
8,0.82611309739228
9,0.22809955445328972
10,0.13824462045865782
11,0.20334841413724625
12,0.14641472615533604
13,0.2593810745772993
14,0.39982716862473333
15,0.07038303107590457
16,0.2807283938610055
17,0.4048786699388379
18,0.5554196874307341
19,0.7088448882542359
20,0.5944414249299517
21,0.09271534384544773
22,0.4359086743228717
23,0.919027801254809
24,0.4621011818718408
25,0.7792470492907501
26,0.12013896689820686
27,0.09833645784065778
28,0.2197902814261702
29,0.5286493592744893
