,SLM
0,0.8269581056466302
1,0.8961748633879781
2,0.8163636363636364
3,0.7581818181818182
4,0.88
5,0.8218181818181818
6,0.8472727272727273
7,0.6272727272727273
8,0.8963636363636364
9,0.6909090909090909
10,0.8981818181818182
11,0.8
12,0.88
13,0.8145454545454546
14,0.9036363636363637
15,0.6272727272727273
16,0.84
17,0.74
18,0.8236363636363636
19,0.8527272727272728
20,0.7854545454545454
21,0.8309090909090909
22,0.8818181818181818
23,0.8272727272727273
24,0.8581818181818182
25,0.78
26,0.7818181818181819
27,0.6279491833030852
28,0.8312159709618875
29,0.8130671506352087
