,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,277,7184,8442,14
1,84,4202,5254,34
2,139,167514,1380,104
3,382,2369,2059,19
4,178,306586,109365,108
5,81,458447,565,79
6,18,35902,3805,43
7,25,478110,12237,153
8,225,848448,8694,37
9,60,85185,11624,113
10,48,320520,3970,67
11,1179,632583,18027,36
12,87,200925,1678,31
13,85,60755,3170,29
14,717,121779,5290,96
15,42,116254,1354,14
16,186,393569,2362,48
17,42,85447,5608,56
18,111,176499,126678,31
19,218,28051,4040,15
20,41,349806,1605,36
21,126,7439,8220,20
22,32,283246,7576,88
23,195,165859,5232,57
24,214,274471,2183,78
25,62,232199,14679,14
26,57,84891,3993,57
27,153,159379,242,107
28,37,202590,193133,23
29,226,22662,6170,38
