,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,7,433,433,1
1,1,265,498,1
2,2,250,196,1
3,12,156,239,1
4,2,440,376,1
5,4,408,56,1
6,1,222,468,1
7,1,358,408,1
8,4,478,298,1
9,3,350,479,1
10,1,433,328,1
11,65,408,275,1
12,4,349,128,1
13,3,299,446,1
14,40,427,488,1
15,2,423,457,1
16,3,485,142,1
17,1,366,341,1
18,2,322,341,1
19,9,189,489,1
20,2,453,234,1
21,1,415,294,1
22,1,412,150,1
23,11,307,128,1
24,10,399,228,1
25,3,374,205,1
26,3,219,385,1
27,7,309,407,1
28,1,354,299,1
29,36,169,454,1
