,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,28,434,317,2
1,10,266,290,2
2,27,1741,92,8
3,34,157,121,2
4,21,2197,1286,14
5,5,2871,38,7
6,2,678,230,2
7,2,3258,431,20
8,16,4370,282,2
9,4,1049,419,10
10,2,2167,242,7
11,66,3744,538,2
12,5,1748,100,2
13,4,881,200,2
14,41,1318,331,7
15,3,1291,105,2
16,18,2441,180,2
17,2,1106,269,5
18,8,1623,1520,2
19,10,577,186,2
20,3,2299,104,2
21,9,416,343,2
22,2,2074,357,7
23,12,1558,267,11
24,11,2020,172,8
25,4,1871,469,2
26,4,1106,224,5
27,8,1555,25,8
28,2,1776,1911,2
29,39,517,237,2
