,MLP
0,0.8167701863354038
1,0.7908902691511387
2,0.8084886128364389
3,0.777432712215321
4,0.9958592132505176
5,0.7877846790890269
6,0.6997929606625258
7,0.7743271221532091
8,0.7991718426501035
9,0.7836438923395446
10,0.7766287487073423
11,0.7580144777662875
12,0.7911065149948294
13,0.7911065149948294
14,0.8066184074457083
15,0.8035160289555325
16,0.796277145811789
17,0.7807652533609101
18,0.8728024819027922
19,0.7859358841778697
20,0.7921406411582212
21,0.9576008273009308
22,0.7807652533609101
23,0.7911065149948294
24,0.7590486039296794
25,0.843846949327818
26,1.0
27,0.7114788004136504
28,0.8831437435367114
29,0.8169596690796277
