,MLP (ADAM)
0,0.5166270269939668
1,0.9961727140160027
2,0.09012961035829559
3,0.5866232353818267
4,0.8201366815860617
5,0.6296319940173809
6,0.7269810972414413
7,0.09971876744253419
8,0.23480796174911603
9,0.6385472830745029
10,0.10222927778836947
11,0.5441931883205224
12,0.23810368342911933
13,0.6073258424459155
14,0.3995690788358181
15,0.8320049357925946
16,0.48202943679080795
17,0.8804599963724556
18,0.9199416182000212
19,0.6318210494545248
20,0.5463959761179168
21,0.3236665587304544
22,0.25743948753638035
23,0.7992015832534966
24,0.9071784615606735
25,0.9950713279977584
26,0.9601062460156056
27,0.16597801825021186
28,0.6541079557029507
29,0.5974211140711586
