,MLP (SGD)
0,0.5618857713575559
1,0.8352895236777053
2,0.17975094359934107
3,0.850507813650057
4,0.9119978107976463
5,0.19632573119264796
6,0.34161508370867566
7,0.7433002621933481
8,0.24257598332831867
9,0.9922708059239813
10,0.767451235181426
11,0.7473249829272044
12,0.2734229751791398
13,0.44425079200859957
14,0.22731439662891204
15,0.029426176207956473
16,0.6852240906687218
17,0.8335365154785682
18,0.7799819157380825
19,0.11347977972982633
20,0.058292023720509574
21,0.03170585630785807
22,0.15999862155792463
23,0.3222921118350058
24,0.24775235220140726
25,0.4948407410343285
26,0.5377245937523701
27,0.6660267587392406
28,0.010621303048677843
29,0.7776393771741744
