,SLM
0,0.8157349896480331
1,0.7639751552795031
2,0.7950310559006211
3,0.7908902691511387
4,0.8074534161490683
5,0.7929606625258799
6,0.7919254658385093
7,0.8033126293995859
8,0.7681159420289855
9,0.7525879917184265
10,0.7838676318510859
11,0.8024819027921406
12,0.7559462254395036
13,0.7631851085832472
14,0.7549120992761117
15,0.7859358841778697
16,0.7838676318510859
17,0.7849017580144778
18,0.8159255429162358
19,0.7735263702171665
20,0.8035160289555325
21,0.8262668045501551
22,0.7528438469493278
23,0.766287487073423
24,0.795243019648397
25,0.7518097207859359
26,0.8169596690796277
27,0.8055842812823164
28,0.7890382626680456
29,0.7590486039296794
