,"SLM (FLS), SLM (FLS) + RST, SLM (FLS) + RWT","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (FLS) + TIE, SLM (FLS) + EDV",SLM (OLS) + EDV
0,167,129,1,2
1,58,58,1,60
2,105,63,200,18
3,90,89,35,129
4,200,143,3,200
5,191,70,1,200
6,164,138,2,1
7,137,38,200,4
8,133,60,6,200
9,70,49,33,15
10,81,85,6,2
11,75,83,34,200
12,143,30,1,200
13,159,32,21,200
14,153,57,36,200
15,161,103,2,45
16,163,107,3,72
17,181,75,21,4
18,98,170,4,59
19,79,36,25,97
20,155,110,5,200
21,136,138,40,200
22,134,97,12,200
23,157,35,2,4
24,116,151,13,2
25,102,105,7,200
26,149,113,11,3
27,119,96,11,1
28,195,112,200,16
29,185,125,18,7
