,MLP (LBFGS),MLP (ADAM),MLP (SGD)
0,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (195, 78), 'alpha': 2.7400917889030034, 'max_iter': 58}","{'solver': 'adam', 'learning_rate_init': 0.08403627785717435, 'activation': 'logistic', 'hidden_layer_sizes': (77, 81, 142), 'alpha': 0, 'max_iter': 22, 'batch_size': 321, 'shuffle': True, 'beta_1': 0.4260684502897272, 'beta_2': 0.9087844752860067}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.4710444447611977, 'activation': 'relu', 'hidden_layer_sizes': (110,), 'alpha': 3.382658107799616, 'max_iter': 925, 'batch_size': 330, 'shuffle': True, 'momentum': 0.10073655302531892, 'nesterovs_momentum': True}"
1,"{'solver': 'lbfgs', 'activation': 'tanh', 'hidden_layer_sizes': (138,), 'alpha': 2.3887740231589905, 'max_iter': 283}","{'solver': 'adam', 'learning_rate_init': 0.019895569844432318, 'activation': 'relu', 'hidden_layer_sizes': (181, 71), 'alpha': 4.062294897413912, 'max_iter': 646, 'batch_size': 150, 'shuffle': True, 'beta_1': 0.7690895500040015, 'beta_2': 0.2781841515563639}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.3882052308287258, 'activation': 'relu', 'hidden_layer_sizes': (155,), 'alpha': 3.911000851154421, 'max_iter': 362, 'batch_size': 451, 'shuffle': False, 'momentum': 0.13479489083300428, 'nesterovs_momentum': False}"
2,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (108,), 'alpha': 1.5602870246192437, 'max_iter': 45}","{'solver': 'adam', 'learning_rate_init': 0.0030594971277939018, 'activation': 'tanh', 'hidden_layer_sizes': (163, 103, 16, 2, 58), 'alpha': 4.027551878234703, 'max_iter': 74, 'batch_size': 328, 'shuffle': False, 'beta_1': 0.6001877060884976, 'beta_2': 0.6855235929941543}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.0290793381443564, 'activation': 'relu', 'hidden_layer_sizes': (112,), 'alpha': 0.8576854471058111, 'max_iter': 947, 'batch_size': 208, 'shuffle': False, 'momentum': 0.33048945985090766, 'nesterovs_momentum': True}"
3,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (166,), 'alpha': 1.9708601439012217, 'max_iter': 919}","{'solver': 'adam', 'learning_rate_init': 0.0889586162477307, 'activation': 'relu', 'hidden_layer_sizes': (130,), 'alpha': 3.6160811466231455, 'max_iter': 407, 'batch_size': 277, 'shuffle': True, 'beta_1': 0.7269392563392935, 'beta_2': 0.11436350803795618}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.4173788794284826, 'activation': 'tanh', 'hidden_layer_sizes': (76, 130, 173), 'alpha': 2.509905447866959, 'max_iter': 959, 'batch_size': 314, 'shuffle': True, 'momentum': 0.1084207341063113, 'nesterovs_momentum': True}"
4,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (153, 76), 'alpha': 1.98184443827768, 'max_iter': 643}","{'solver': 'adam', 'learning_rate_init': 0.06493545091151276, 'activation': 'relu', 'hidden_layer_sizes': (191,), 'alpha': 1.880163538945489, 'max_iter': 457, 'batch_size': 167, 'shuffle': True, 'beta_1': 0.08295547003598977, 'beta_2': 0.4208282561992082}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.19248120138730607, 'activation': 'tanh', 'hidden_layer_sizes': (33,), 'alpha': 0.1604739918616666, 'max_iter': 257, 'batch_size': 497, 'shuffle': False, 'momentum': 0.2740075227044308, 'nesterovs_momentum': False}"
5,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (140, 105), 'alpha': 1.901215786715712, 'max_iter': 543}","{'solver': 'adam', 'learning_rate_init': 0.19478522239647453, 'activation': 'relu', 'hidden_layer_sizes': (145, 30), 'alpha': 3.4296147090648685, 'max_iter': 863, 'batch_size': 399, 'shuffle': True, 'beta_1': 0.5678528815637667, 'beta_2': 0.16187290825854903}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.659900285882198, 'activation': 'logistic', 'hidden_layer_sizes': (18,), 'alpha': 0.7705187816243914, 'max_iter': 612, 'batch_size': 506, 'shuffle': True, 'momentum': 0.08499574548613802, 'nesterovs_momentum': False}"
6,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (8,), 'alpha': 2.133604748944077, 'max_iter': 93}","{'solver': 'adam', 'learning_rate_init': 0.051252370575631624, 'activation': 'tanh', 'hidden_layer_sizes': (44, 16, 156), 'alpha': 0.997436512720575, 'max_iter': 807, 'batch_size': 111, 'shuffle': True, 'beta_1': 0.6676266379954392, 'beta_2': 0.6008171633506604}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.07314780237515071, 'activation': 'tanh', 'hidden_layer_sizes': (98, 161, 54, 41, 139), 'alpha': 0, 'max_iter': 3, 'batch_size': 157, 'shuffle': True, 'momentum': 0.3488441380837685, 'nesterovs_momentum': True}"
7,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (77, 40), 'alpha': 0.9319198985020843, 'max_iter': 149}","{'solver': 'adam', 'learning_rate_init': 0.3871749831618372, 'activation': 'logistic', 'hidden_layer_sizes': (36,), 'alpha': 3.3645674120310027, 'max_iter': 221, 'batch_size': 742, 'shuffle': True, 'beta_1': 0.9355260580886111, 'beta_2': 0.9743594452445331}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.26797823656052, 'activation': 'tanh', 'hidden_layer_sizes': (24,), 'alpha': 1.542323578427748, 'max_iter': 166, 'batch_size': 194, 'shuffle': True, 'momentum': 0.8598946176231889, 'nesterovs_momentum': True}"
8,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (18,), 'alpha': 2.8403975823291425, 'max_iter': 208}","{'solver': 'adam', 'learning_rate_init': 0.027781549857734275, 'activation': 'logistic', 'hidden_layer_sizes': (53, 185), 'alpha': 1.1703980268383296, 'max_iter': 716, 'batch_size': 542, 'shuffle': False, 'beta_1': 0.12311172986007245, 'beta_2': 0.8263423977683116}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.7373201698055567, 'activation': 'relu', 'hidden_layer_sizes': (176, 71, 134), 'alpha': 1.7158384429482314, 'max_iter': 266, 'batch_size': 216, 'shuffle': False, 'momentum': 0.09409244227754304, 'nesterovs_momentum': True}"
9,"{'solver': 'lbfgs', 'activation': 'tanh', 'hidden_layer_sizes': (38,), 'alpha': 4.408310072285485, 'max_iter': 8}","{'solver': 'adam', 'learning_rate_init': 0.06521655973538829, 'activation': 'logistic', 'hidden_layer_sizes': (10,), 'alpha': 0, 'max_iter': 16, 'batch_size': 383, 'shuffle': False, 'beta_1': 0.6037375250678317, 'beta_2': 0.4035888507536011}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5478886425768886, 'activation': 'tanh', 'hidden_layer_sizes': (62,), 'alpha': 0, 'max_iter': 13, 'batch_size': 171, 'shuffle': False, 'momentum': 0.5870180578205968, 'nesterovs_momentum': True}"
