,MLP
0,0.7749326145552561
1,0.7924528301886793
2,0.8099730458221024
3,0.7884097035040432
4,0.8059299191374663
5,0.7776280323450134
6,0.7695417789757413
7,0.7803234501347709
8,0.784366576819407
9,0.7830188679245284
10,0.7816711590296496
11,0.8045822102425876
12,0.7776280323450134
13,0.7911051212938005
14,0.7277628032345014
15,0.7587601078167115
16,0.8301886792452831
17,0.7870619946091644
18,0.7991913746630728
19,0.7870619946091644
20,0.7738896366083445
21,0.7617765814266487
22,0.7860026917900403
23,0.7685060565275909
24,0.7819650067294751
25,0.7806191117092867
26,0.7994616419919246
27,0.7927321668909825
28,0.6505376344086021
29,0.7862903225806451
