,MLP (ADAM)
0,0.4260684502897272
1,0.7690895500040015
2,0.6001877060884976
3,0.7269392563392935
4,0.08295547003598977
5,0.5678528815637667
6,0.6676266379954392
7,0.9355260580886111
8,0.12311172986007245
9,0.6037375250678317
10,0.9612651039988233
11,0.5797352220117499
12,0.777852943312495
13,0.2915731576971372
14,0.6919155613835584
15,0.7246368040907392
16,0.31891385254736404
17,0.5533174083536198
18,0.38682503979177346
19,0.47224777495467385
20,0.07622679454707076
21,0.26156310995464765
22,0.12031315369189748
23,0.5996658116422094
24,0.4524441519695192
25,0.11585990760522383
26,0.41220823323299793
27,0.5792635299080084
28,0.18185364805148813
29,0.14053601954003128
