,MLP (SGD)
0,0.10073655302531892
1,0.13479489083300428
2,0.33048945985090766
3,0.1084207341063113
4,0.2740075227044308
5,0.08499574548613802
6,0.3488441380837685
7,0.8598946176231889
8,0.09409244227754304
9,0.5870180578205968
10,0.1614686386509009
11,0.04004968402207438
12,0.3553281082783711
13,0.3315645407594046
14,0.275235139072983
15,0.17060718462922217
16,0.44633485906652587
17,0.0780486831527561
18,0.2520587193701903
19,0.2524915514244173
20,0.36118741988703645
21,0.5898690700334638
22,0.4995263321618725
23,0.9111078851705403
24,0.2118193678124894
25,0.39142209343933926
26,0.5541209836248043
27,0.7298155158447364
28,0.6642201868734143
29,0.9176133423758794
