,SLM
0,0.384772159545179
1,0.3676195573960887
2,0.3850112619654347
3,0.3935758911102793
4,0.3779645488488309
5,0.3975591183985773
6,0.3786462865407151
7,0.40804546248078705
8,0.38982093172259785
9,0.37689589471580875
10,0.3898329322943524
11,0.3796852767208841
12,0.3732329483218212
13,0.3811974148753206
14,0.3827235981591072
15,0.3812084763919259
16,0.37575993248010614
17,0.3883383097080653
18,0.38282615018668453
19,0.3870105989475084
20,0.38349630845664756
21,0.38034671535967823
22,0.38494742314309993
23,0.3770509516890025
24,0.38452440758169354
25,0.3858103727743449
26,0.3960220401339573
27,0.38709656797689695
28,0.3921666087146234
29,0.3873261091067814
