,MLP
0,0.9717391304347827
1,0.5652173913043478
2,0.6130434782608696
3,0.5652173913043478
4,0.43478260869565216
5,0.5652173913043478
6,0.5652173913043478
7,0.5652173913043478
8,0.5652173913043478
9,0.43478260869565216
10,0.5652173913043478
11,0.43478260869565216
12,0.5304347826086957
13,0.4369565217391304
14,0.5652173913043478
15,0.5652173913043478
16,0.43478260869565216
17,0.5652173913043478
18,0.5652173913043478
19,0.5652173913043478
20,0.45652173913043476
21,0.5652173913043478
22,0.5760869565217391
23,0.5652173913043478
24,0.691304347826087
25,0.5652173913043478
26,0.5652173913043478
27,0.5639913232104121
28,0.6616052060737527
29,1.0
