,MLP (SGD)
0,0.015272541030926918
1,0.3802520420895514
2,0.03072655031995005
3,0.6424800858233369
4,0.11865748407487528
5,0.40119809015927455
6,0.04677787866653926
7,0.35137620249350054
8,0.38347815324044227
9,0.1663393515582298
10,0.2617422921934204
11,0.7734509569203837
12,0.8563612722141033
13,0.10707972502286112
14,0.821484175290351
15,0.653555922904413
16,0.5311861522421132
17,0.8169215230145946
18,0.15403045595538178
19,0.6655725698477225
20,0.4033089683341456
21,0.5464813713460762
22,0.7116743886217475
23,0.07142402643064676
24,0.5471656667744713
25,0.2553142301474614
26,0.5317499274490111
27,0.5568304009457351
28,0.8893672482747319
29,0.7725292034687419
