,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,290,187123,1435,780
1,331,358356,47946,492
2,321,258453,228695,525
3,506,185055,35511,426
4,1478,100229,21411,351
5,580,163565,1670,389
6,551,208293,28402,674
7,455,72615,5667,1001
8,603,590478,111046,381
9,512158,369283,70327,1138
10,467,326284,43703,964
11,419,527149,89836,551
12,735,415661,164789,659
13,411,179834,107512,670
14,275,154425,220380,721
15,825,177306,8617,648
16,571,211584,35043,1276
17,709,180188,48137,494
18,991,133646,82048,582
19,1281,148562,1231,588
20,1139,193550,35859,488
21,976,129714,36667,85
22,448,135324,13260,380
23,591,235078,10863,961
24,515,312434,21724,107
25,635,223642,56669,240
26,1918,230980,45719,737
27,364,39730,30977,735
28,594,399650,36348,518
29,1430,116369,31526,131
