,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,1,451,148,1
1,1,430,467,1
2,1,339,377,2
3,1,287,328,3
4,6,291,306,1
5,2,416,401,1
6,7,479,414,2
7,1,241,405,3
8,1,440,374,1
9,500,431,370,4
10,2,412,190,2
11,5,353,417,2
12,1,469,452,1
13,1,442,477,1
14,3,260,463,2
15,10,289,90,2
16,1,488,257,4
17,2,436,423,1
18,5,356,472,1
19,5,398,336,2
20,3,451,169,1
21,3,235,192,2
22,1,368,473,1
23,2,336,393,3
24,5,265,293,1
25,2,226,294,1
26,7,262,341,2
27,2,453,209,2
28,6,455,480,2
29,14,326,222,1
