,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,6,1340,76,10
1,5,2121,741,7
2,5,1754,2068,9
3,22,1493,707,4
4,39,887,434,13
5,28,1238,66,7
6,8,1435,381,9
7,6,717,87,17
8,9,3132,969,9
9,2566,2160,845,15
10,14,2020,589,13
11,6,3221,945,10
12,16,2337,1406,16
13,23,1348,1096,9
14,4,1309,1650,10
15,11,1455,90,8
16,26,1463,526,18
17,12,1322,756,6
18,34,1083,1037,13
19,22,1193,58,11
20,22,1344,726,6
21,36,1195,724,3
22,6,1112,323,11
23,26,1726,133,16
24,6,2428,298,4
25,20,2031,964,4
26,28,1871,709,11
27,15,454,400,18
28,7,2269,419,9
29,15,996,643,4
