,MLP (ADAM),MLP (SGD)
0,"{'solver': 'adam', 'learning_rate_init': 7.4152726056945015, 'activation': 'relu', 'hidden_layer_sizes': (53,), 'alpha': 7.616919476340802, 'max_iter': 7, 'batch_size': 66, 'shuffle': True, 'beta_1': 0.04766863426034629, 'beta_2': 0.4551607562754411}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.045769760837477, 'activation': 'relu', 'hidden_layer_sizes': (96, 42, 2, 158, 59), 'alpha': 8.858852758664566, 'max_iter': 180, 'batch_size': 2075, 'shuffle': False, 'momentum': 0.7588365621985714, 'nesterovs_momentum': True}"
1,"{'solver': 'adam', 'learning_rate_init': 7.649768462386044, 'activation': 'logistic', 'hidden_layer_sizes': (62, 118, 63), 'alpha': 0.3681864399284718, 'max_iter': 447, 'batch_size': 1879, 'shuffle': True, 'beta_1': 0.27281341302177703, 'beta_2': 0.8869276680102135}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.15052537603415378, 'activation': 'tanh', 'hidden_layer_sizes': (95, 84, 195, 141), 'alpha': 0.8541539678344633, 'max_iter': 112, 'batch_size': 2534, 'shuffle': True, 'momentum': 0.4763066942499418, 'nesterovs_momentum': True}"
2,"{'solver': 'adam', 'learning_rate_init': 5.726271734846353, 'activation': 'tanh', 'hidden_layer_sizes': (105, 191, 3, 187, 92), 'alpha': 0.9943130236813592, 'max_iter': 268, 'batch_size': 2756, 'shuffle': False, 'beta_1': 0.40832086197704553, 'beta_2': 0.8376589267819784}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.423218793983066, 'activation': 'logistic', 'hidden_layer_sizes': (171, 99, 63), 'alpha': 8.804561901478657, 'max_iter': 286, 'batch_size': 1010, 'shuffle': True, 'momentum': 0.4234305605148137, 'nesterovs_momentum': True}"
3,"{'solver': 'adam', 'learning_rate_init': 8.58142128701636, 'activation': 'relu', 'hidden_layer_sizes': (125,), 'alpha': 2.365250077697812, 'max_iter': 79, 'batch_size': 1177, 'shuffle': True, 'beta_1': 0.7371165072504313, 'beta_2': 0.38812661384920916}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.1065255813104948, 'activation': 'logistic', 'hidden_layer_sizes': (172, 79, 12), 'alpha': 7.910521467695963, 'max_iter': 209, 'batch_size': 1736, 'shuffle': True, 'momentum': 0.39694973215872054, 'nesterovs_momentum': False}"
4,"{'solver': 'adam', 'learning_rate_init': 0.9242122928757999, 'activation': 'logistic', 'hidden_layer_sizes': (109, 119), 'alpha': 2.385274108800312, 'max_iter': 295, 'batch_size': 1182, 'shuffle': False, 'beta_1': 0.5966679384460325, 'beta_2': 0.3898955490189132}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.11294466610022941, 'activation': 'tanh', 'hidden_layer_sizes': (63, 151, 25, 137, 126), 'alpha': 4.924106714613404, 'max_iter': 252, 'batch_size': 1966, 'shuffle': False, 'momentum': 0.0755350199732199, 'nesterovs_momentum': False}"
5,"{'solver': 'adam', 'learning_rate_init': 3.607238796363341, 'activation': 'relu', 'hidden_layer_sizes': (181,), 'alpha': 2.1399240754008053, 'max_iter': 375, 'batch_size': 1415, 'shuffle': False, 'beta_1': 0.341971700426836, 'beta_2': 0.19815400912584047}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.553534161146659, 'activation': 'tanh', 'hidden_layer_sizes': (133, 59, 175, 65, 166), 'alpha': 2.9061795115719313, 'max_iter': 297, 'batch_size': 1143, 'shuffle': False, 'momentum': 0.03266254193222843, 'nesterovs_momentum': True}"
6,"{'solver': 'adam', 'learning_rate_init': 8.88333909605965, 'activation': 'relu', 'hidden_layer_sizes': (20, 115, 154, 33), 'alpha': 3.3173683315388667, 'max_iter': 138, 'batch_size': 506, 'shuffle': True, 'beta_1': 0.06972444067142966, 'beta_2': 0.9429107871332371}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.3895615612967, 'activation': 'logistic', 'hidden_layer_sizes': (168, 113, 87), 'alpha': 1.9451039652913384, 'max_iter': 467, 'batch_size': 2091, 'shuffle': True, 'momentum': 0.6899366184697446, 'nesterovs_momentum': True}"
7,"{'solver': 'adam', 'learning_rate_init': 6.7435423239903, 'activation': 'relu', 'hidden_layer_sizes': (50, 190, 73, 68, 172), 'alpha': 3.7876629991774187, 'max_iter': 408, 'batch_size': 2525, 'shuffle': False, 'beta_1': 0.4341084931490004, 'beta_2': 0.76284801193385}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.2533739478102595, 'activation': 'logistic', 'hidden_layer_sizes': (118, 84, 155, 114), 'alpha': 0.4564892362056764, 'max_iter': 436, 'batch_size': 1675, 'shuffle': False, 'momentum': 0.7006301159398514, 'nesterovs_momentum': True}"
8,"{'solver': 'adam', 'learning_rate_init': 9.931281883977226, 'activation': 'logistic', 'hidden_layer_sizes': (143, 116, 88), 'alpha': 9.338101455124132, 'max_iter': 167, 'batch_size': 153, 'shuffle': False, 'beta_1': 0.4466321231593607, 'beta_2': 0.5804086760447706}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.000072225879771, 'activation': 'logistic', 'hidden_layer_sizes': (101, 80), 'alpha': 2.2817114133408536, 'max_iter': 35, 'batch_size': 1754, 'shuffle': False, 'momentum': 0.33255428895650746, 'nesterovs_momentum': True}"
9,"{'solver': 'adam', 'learning_rate_init': 2.464303587122337, 'activation': 'relu', 'hidden_layer_sizes': (114, 75, 3), 'alpha': 0.8881890177425141, 'max_iter': 130, 'batch_size': 1274, 'shuffle': True, 'beta_1': 0.38267443756962705, 'beta_2': 0.7362552080483423}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.2949790851472041, 'activation': 'tanh', 'hidden_layer_sizes': (59,), 'alpha': 4.340340903432366, 'max_iter': 340, 'batch_size': 907, 'shuffle': True, 'momentum': 0.5190667202525762, 'nesterovs_momentum': False}"
10,"{'solver': 'adam', 'learning_rate_init': 3.841456863104749, 'activation': 'relu', 'hidden_layer_sizes': (64, 23, 192, 66), 'alpha': 6.715208578297324, 'max_iter': 6, 'batch_size': 2289, 'shuffle': False, 'beta_1': 0.11226229342604026, 'beta_2': 0.30276018127151527}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.4762730537003046, 'activation': 'logistic', 'hidden_layer_sizes': (87, 6, 22, 102), 'alpha': 8.265638767928458, 'max_iter': 333, 'batch_size': 1063, 'shuffle': False, 'momentum': 0.28680678667685827, 'nesterovs_momentum': False}"
11,"{'solver': 'adam', 'learning_rate_init': 1.4576072228227808, 'activation': 'tanh', 'hidden_layer_sizes': (6, 75, 76, 25, 107), 'alpha': 1.5415707802229264, 'max_iter': 279, 'batch_size': 674, 'shuffle': False, 'beta_1': 0.8554945014961837, 'beta_2': 0.23784449342903594}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.138845725102276, 'activation': 'relu', 'hidden_layer_sizes': (192, 190, 190, 140, 159), 'alpha': 3.5562635719995512, 'max_iter': 157, 'batch_size': 2010, 'shuffle': True, 'momentum': 0.41402022378026787, 'nesterovs_momentum': True}"
12,"{'solver': 'adam', 'learning_rate_init': 2.0388711352094333, 'activation': 'relu', 'hidden_layer_sizes': (156, 34, 118, 116), 'alpha': 6.001781568774818, 'max_iter': 383, 'batch_size': 983, 'shuffle': False, 'beta_1': 0.4255714742689471, 'beta_2': 0.9524942855391053}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.479708202066611, 'activation': 'tanh', 'hidden_layer_sizes': (161,), 'alpha': 7.811743648855463, 'max_iter': 69, 'batch_size': 1829, 'shuffle': False, 'momentum': 0.751244753857223, 'nesterovs_momentum': False}"
13,"{'solver': 'adam', 'learning_rate_init': 8.398617628248637, 'activation': 'logistic', 'hidden_layer_sizes': (191, 198, 41, 6, 46), 'alpha': 7.451281755374677, 'max_iter': 236, 'batch_size': 1023, 'shuffle': True, 'beta_1': 0.5791664353641142, 'beta_2': 0.9878950737104616}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.4387925020215056, 'activation': 'logistic', 'hidden_layer_sizes': (166, 40, 18), 'alpha': 0.7011282192144864, 'max_iter': 204, 'batch_size': 1175, 'shuffle': False, 'momentum': 0.8276300194309422, 'nesterovs_momentum': True}"
14,"{'solver': 'adam', 'learning_rate_init': 5.027836430544744, 'activation': 'tanh', 'hidden_layer_sizes': (36, 124, 118, 144), 'alpha': 8.663498394173844, 'max_iter': 150, 'batch_size': 1250, 'shuffle': True, 'beta_1': 0.4462688884975029, 'beta_2': 0.6278692108692476}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.17726064338452838, 'activation': 'tanh', 'hidden_layer_sizes': (67, 27, 125, 50), 'alpha': 1.9861274335704509, 'max_iter': 372, 'batch_size': 1172, 'shuffle': True, 'momentum': 0.20056953802917124, 'nesterovs_momentum': False}"
15,"{'solver': 'adam', 'learning_rate_init': 5.564580174634195, 'activation': 'logistic', 'hidden_layer_sizes': (95, 1, 186), 'alpha': 4.978307658966914, 'max_iter': 204, 'batch_size': 1110, 'shuffle': False, 'beta_1': 0.6939469377088222, 'beta_2': 0.03858863623390385}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.19019684390667996, 'activation': 'tanh', 'hidden_layer_sizes': (114, 121, 85), 'alpha': 7.6658929116404915, 'max_iter': 486, 'batch_size': 2169, 'shuffle': False, 'momentum': 0.4723247163754273, 'nesterovs_momentum': False}"
16,"{'solver': 'adam', 'learning_rate_init': 9.471086273924316, 'activation': 'tanh', 'hidden_layer_sizes': (195, 96, 22), 'alpha': 5.833345610198091, 'max_iter': 264, 'batch_size': 676, 'shuffle': True, 'beta_1': 0.18800710614846522, 'beta_2': 0.7208526395665935}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.1381098144606362, 'activation': 'tanh', 'hidden_layer_sizes': (153, 26, 14, 115, 15), 'alpha': 8.234888786955299, 'max_iter': 160, 'batch_size': 1674, 'shuffle': True, 'momentum': 0.1663594802434839, 'nesterovs_momentum': False}"
17,"{'solver': 'adam', 'learning_rate_init': 1.773006348251548, 'activation': 'relu', 'hidden_layer_sizes': (177,), 'alpha': 6.739795172831944, 'max_iter': 99, 'batch_size': 501, 'shuffle': True, 'beta_1': 0.7636847583004982, 'beta_2': 0.4644226271728246}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.35367901995250245, 'activation': 'logistic', 'hidden_layer_sizes': (189, 85, 133), 'alpha': 6.857103450124131, 'max_iter': 179, 'batch_size': 2242, 'shuffle': False, 'momentum': 0.5722125332735769, 'nesterovs_momentum': False}"
18,"{'solver': 'adam', 'learning_rate_init': 7.013890400581663, 'activation': 'relu', 'hidden_layer_sizes': (24, 31), 'alpha': 1.227690647356412, 'max_iter': 443, 'batch_size': 1074, 'shuffle': True, 'beta_1': 0.4897117687135037, 'beta_2': 0.594522099312209}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.002479713916152, 'activation': 'relu', 'hidden_layer_sizes': (6, 131), 'alpha': 4.696186002326904, 'max_iter': 272, 'batch_size': 352, 'shuffle': False, 'momentum': 0.04943095387396124, 'nesterovs_momentum': False}"
19,"{'solver': 'adam', 'learning_rate_init': 0.019146969504638015, 'activation': 'logistic', 'hidden_layer_sizes': (129,), 'alpha': 6.72364093117609, 'max_iter': 79, 'batch_size': 2791, 'shuffle': True, 'beta_1': 0.4129530291746388, 'beta_2': 0.5646809826018456}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.06480136974949245, 'activation': 'logistic', 'hidden_layer_sizes': (151, 26, 186), 'alpha': 1.3084970924762855, 'max_iter': 257, 'batch_size': 1800, 'shuffle': True, 'momentum': 0.7369696373070872, 'nesterovs_momentum': True}"
20,"{'solver': 'adam', 'learning_rate_init': 5.251132762584828, 'activation': 'logistic', 'hidden_layer_sizes': (42, 96, 128, 67), 'alpha': 2.694982019940837, 'max_iter': 259, 'batch_size': 867, 'shuffle': False, 'beta_1': 0.3590854084991066, 'beta_2': 0.828746028024906}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.07138019315051462, 'activation': 'tanh', 'hidden_layer_sizes': (114,), 'alpha': 8.59605760672613, 'max_iter': 236, 'batch_size': 1845, 'shuffle': False, 'momentum': 0.33421506532378387, 'nesterovs_momentum': True}"
21,"{'solver': 'adam', 'learning_rate_init': 6.293195790353676, 'activation': 'relu', 'hidden_layer_sizes': (133,), 'alpha': 2.422922356372308, 'max_iter': 392, 'batch_size': 1498, 'shuffle': False, 'beta_1': 0.3982874828618918, 'beta_2': 0.8369537339082731}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.493415534146162, 'activation': 'tanh', 'hidden_layer_sizes': (109, 126), 'alpha': 4.1736801510750645, 'max_iter': 419, 'batch_size': 2627, 'shuffle': True, 'momentum': 0.3362381067518141, 'nesterovs_momentum': False}"
22,"{'solver': 'adam', 'learning_rate_init': 9.218350353915723, 'activation': 'logistic', 'hidden_layer_sizes': (70, 30, 198, 147, 54), 'alpha': 2.2546918472578854, 'max_iter': 265, 'batch_size': 2086, 'shuffle': False, 'beta_1': 0.11445887388021174, 'beta_2': 0.6653649294959444}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.858864051701426, 'activation': 'relu', 'hidden_layer_sizes': (180, 126, 127, 20, 29), 'alpha': 2.027265130994601, 'max_iter': 334, 'batch_size': 1935, 'shuffle': True, 'momentum': 0.15510404406459596, 'nesterovs_momentum': True}"
23,"{'solver': 'adam', 'learning_rate_init': 0.020812790147872698, 'activation': 'relu', 'hidden_layer_sizes': (88, 137), 'alpha': 4.8315040631710735, 'max_iter': 351, 'batch_size': 1679, 'shuffle': True, 'beta_1': 0.7977841433796629, 'beta_2': 0.7726849975887704}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.992849142057438, 'activation': 'logistic', 'hidden_layer_sizes': (106, 193), 'alpha': 1.178601340968065, 'max_iter': 217, 'batch_size': 1335, 'shuffle': False, 'momentum': 0.7720539769907833, 'nesterovs_momentum': False}"
24,"{'solver': 'adam', 'learning_rate_init': 9.683353655751052, 'activation': 'relu', 'hidden_layer_sizes': (86, 173), 'alpha': 5.620452751649394, 'max_iter': 370, 'batch_size': 2618, 'shuffle': True, 'beta_1': 0.20592358916800022, 'beta_2': 0.05640474550443528}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.330141591288351, 'activation': 'logistic', 'hidden_layer_sizes': (45,), 'alpha': 1.3270449412939442, 'max_iter': 76, 'batch_size': 1699, 'shuffle': False, 'momentum': 0.5743953073046433, 'nesterovs_momentum': False}"
25,"{'solver': 'adam', 'learning_rate_init': 2.5041636997284935, 'activation': 'relu', 'hidden_layer_sizes': (197,), 'alpha': 5.292908343189308, 'max_iter': 49, 'batch_size': 521, 'shuffle': False, 'beta_1': 0.7652898003920888, 'beta_2': 0.72092338962829}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.470679570325744, 'activation': 'tanh', 'hidden_layer_sizes': (52, 197, 79, 77, 102), 'alpha': 2.8312451707347726, 'max_iter': 458, 'batch_size': 2510, 'shuffle': True, 'momentum': 0.09459092667733023, 'nesterovs_momentum': False}"
26,"{'solver': 'adam', 'learning_rate_init': 9.815449985649801, 'activation': 'relu', 'hidden_layer_sizes': (162,), 'alpha': 7.966212395045135, 'max_iter': 89, 'batch_size': 278, 'shuffle': False, 'beta_1': 0.6689615237706761, 'beta_2': 0.5316644311954932}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.08215974767813879, 'activation': 'tanh', 'hidden_layer_sizes': (12,), 'alpha': 7.7031336171471985, 'max_iter': 223, 'batch_size': 1287, 'shuffle': False, 'momentum': 0.18193954192443282, 'nesterovs_momentum': True}"
27,"{'solver': 'adam', 'learning_rate_init': 4.327567607997647, 'activation': 'logistic', 'hidden_layer_sizes': (68, 174, 86, 36, 139), 'alpha': 2.139649471164952, 'max_iter': 378, 'batch_size': 2823, 'shuffle': False, 'beta_1': 0.7365710274476374, 'beta_2': 0.15597753759993704}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.595468141143526, 'activation': 'relu', 'hidden_layer_sizes': (25, 27, 39), 'alpha': 7.5081143560978525, 'max_iter': 58, 'batch_size': 923, 'shuffle': False, 'momentum': 0.18328447563421035, 'nesterovs_momentum': False}"
28,"{'solver': 'adam', 'learning_rate_init': 0.050214002233520724, 'activation': 'logistic', 'hidden_layer_sizes': (105, 118, 196, 155, 188), 'alpha': 9.23480322387519, 'max_iter': 25, 'batch_size': 831, 'shuffle': True, 'beta_1': 0.7080677729974866, 'beta_2': 0.21829165799519784}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.4622724542012389, 'activation': 'logistic', 'hidden_layer_sizes': (94, 122, 96, 157), 'alpha': 0.11925543268031183, 'max_iter': 471, 'batch_size': 705, 'shuffle': True, 'momentum': 0.2748106016871639, 'nesterovs_momentum': True}"
29,"{'solver': 'adam', 'learning_rate_init': 9.586341003457639, 'activation': 'tanh', 'hidden_layer_sizes': (79, 192, 109), 'alpha': 6.207368770430068, 'max_iter': 157, 'batch_size': 55, 'shuffle': False, 'beta_1': 0.7740176848500859, 'beta_2': 0.1144808544915712}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.6897921360635895, 'activation': 'relu', 'hidden_layer_sizes': (151, 105, 106, 7, 164), 'alpha': 3.7872990259646535, 'max_iter': 278, 'batch_size': 1509, 'shuffle': True, 'momentum': 0.3708390006361833, 'nesterovs_momentum': False}"
