,MLP
0,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.045769760837477, 'activation': 'relu', 'hidden_layer_sizes': (96, 42, 2, 158, 59), 'alpha': 8.858852758664566, 'max_iter': 180, 'batch_size': 2075, 'shuffle': False, 'momentum': 0.7588365621985714, 'nesterovs_momentum': True}"
1,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.15052537603415378, 'activation': 'tanh', 'hidden_layer_sizes': (95, 84, 195, 141), 'alpha': 0.8541539678344633, 'max_iter': 112, 'batch_size': 2534, 'shuffle': True, 'momentum': 0.4763066942499418, 'nesterovs_momentum': True}"
2,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.423218793983066, 'activation': 'logistic', 'hidden_layer_sizes': (171, 99, 63), 'alpha': 8.804561901478657, 'max_iter': 286, 'batch_size': 1010, 'shuffle': True, 'momentum': 0.4234305605148137, 'nesterovs_momentum': True}"
3,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.1065255813104948, 'activation': 'logistic', 'hidden_layer_sizes': (172, 79, 12), 'alpha': 7.910521467695963, 'max_iter': 209, 'batch_size': 1736, 'shuffle': True, 'momentum': 0.39694973215872054, 'nesterovs_momentum': False}"
4,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.11294466610022941, 'activation': 'tanh', 'hidden_layer_sizes': (63, 151, 25, 137, 126), 'alpha': 4.924106714613404, 'max_iter': 252, 'batch_size': 1966, 'shuffle': False, 'momentum': 0.0755350199732199, 'nesterovs_momentum': False}"
5,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.553534161146659, 'activation': 'tanh', 'hidden_layer_sizes': (133, 59, 175, 65, 166), 'alpha': 2.9061795115719313, 'max_iter': 297, 'batch_size': 1143, 'shuffle': False, 'momentum': 0.03266254193222843, 'nesterovs_momentum': True}"
6,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.3895615612967, 'activation': 'logistic', 'hidden_layer_sizes': (168, 113, 87), 'alpha': 1.9451039652913384, 'max_iter': 467, 'batch_size': 2091, 'shuffle': True, 'momentum': 0.6899366184697446, 'nesterovs_momentum': True}"
7,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.2533739478102595, 'activation': 'logistic', 'hidden_layer_sizes': (118, 84, 155, 114), 'alpha': 0.4564892362056764, 'max_iter': 436, 'batch_size': 1675, 'shuffle': False, 'momentum': 0.7006301159398514, 'nesterovs_momentum': True}"
8,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.000072225879771, 'activation': 'logistic', 'hidden_layer_sizes': (101, 80), 'alpha': 2.2817114133408536, 'max_iter': 35, 'batch_size': 1754, 'shuffle': False, 'momentum': 0.33255428895650746, 'nesterovs_momentum': True}"
9,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.2949790851472041, 'activation': 'tanh', 'hidden_layer_sizes': (59,), 'alpha': 4.340340903432366, 'max_iter': 340, 'batch_size': 907, 'shuffle': True, 'momentum': 0.5190667202525762, 'nesterovs_momentum': False}"
10,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.4762730537003046, 'activation': 'logistic', 'hidden_layer_sizes': (87, 6, 22, 102), 'alpha': 8.265638767928458, 'max_iter': 333, 'batch_size': 1063, 'shuffle': False, 'momentum': 0.28680678667685827, 'nesterovs_momentum': False}"
11,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.138845725102276, 'activation': 'relu', 'hidden_layer_sizes': (192, 190, 190, 140, 159), 'alpha': 3.5562635719995512, 'max_iter': 157, 'batch_size': 2010, 'shuffle': True, 'momentum': 0.41402022378026787, 'nesterovs_momentum': True}"
12,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.479708202066611, 'activation': 'tanh', 'hidden_layer_sizes': (161,), 'alpha': 7.811743648855463, 'max_iter': 69, 'batch_size': 1829, 'shuffle': False, 'momentum': 0.751244753857223, 'nesterovs_momentum': False}"
13,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.4387925020215056, 'activation': 'logistic', 'hidden_layer_sizes': (166, 40, 18), 'alpha': 0.7011282192144864, 'max_iter': 204, 'batch_size': 1175, 'shuffle': False, 'momentum': 0.8276300194309422, 'nesterovs_momentum': True}"
14,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.17726064338452838, 'activation': 'tanh', 'hidden_layer_sizes': (67, 27, 125, 50), 'alpha': 1.9861274335704509, 'max_iter': 372, 'batch_size': 1172, 'shuffle': True, 'momentum': 0.20056953802917124, 'nesterovs_momentum': False}"
15,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.19019684390667996, 'activation': 'tanh', 'hidden_layer_sizes': (114, 121, 85), 'alpha': 7.6658929116404915, 'max_iter': 486, 'batch_size': 2169, 'shuffle': False, 'momentum': 0.4723247163754273, 'nesterovs_momentum': False}"
16,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.1381098144606362, 'activation': 'tanh', 'hidden_layer_sizes': (153, 26, 14, 115, 15), 'alpha': 8.234888786955299, 'max_iter': 160, 'batch_size': 1674, 'shuffle': True, 'momentum': 0.1663594802434839, 'nesterovs_momentum': False}"
17,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.35367901995250245, 'activation': 'logistic', 'hidden_layer_sizes': (189, 85, 133), 'alpha': 6.857103450124131, 'max_iter': 179, 'batch_size': 2242, 'shuffle': False, 'momentum': 0.5722125332735769, 'nesterovs_momentum': False}"
18,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.002479713916152, 'activation': 'relu', 'hidden_layer_sizes': (6, 131), 'alpha': 4.696186002326904, 'max_iter': 272, 'batch_size': 352, 'shuffle': False, 'momentum': 0.04943095387396124, 'nesterovs_momentum': False}"
19,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.06480136974949245, 'activation': 'logistic', 'hidden_layer_sizes': (151, 26, 186), 'alpha': 1.3084970924762855, 'max_iter': 257, 'batch_size': 1800, 'shuffle': True, 'momentum': 0.7369696373070872, 'nesterovs_momentum': True}"
20,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.07138019315051462, 'activation': 'tanh', 'hidden_layer_sizes': (114,), 'alpha': 8.59605760672613, 'max_iter': 236, 'batch_size': 1845, 'shuffle': False, 'momentum': 0.33421506532378387, 'nesterovs_momentum': True}"
21,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.493415534146162, 'activation': 'tanh', 'hidden_layer_sizes': (109, 126), 'alpha': 4.1736801510750645, 'max_iter': 419, 'batch_size': 2627, 'shuffle': True, 'momentum': 0.3362381067518141, 'nesterovs_momentum': False}"
22,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.858864051701426, 'activation': 'relu', 'hidden_layer_sizes': (180, 126, 127, 20, 29), 'alpha': 2.027265130994601, 'max_iter': 334, 'batch_size': 1935, 'shuffle': True, 'momentum': 0.15510404406459596, 'nesterovs_momentum': True}"
23,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.992849142057438, 'activation': 'logistic', 'hidden_layer_sizes': (106, 193), 'alpha': 1.178601340968065, 'max_iter': 217, 'batch_size': 1335, 'shuffle': False, 'momentum': 0.7720539769907833, 'nesterovs_momentum': False}"
24,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.330141591288351, 'activation': 'logistic', 'hidden_layer_sizes': (45,), 'alpha': 1.3270449412939442, 'max_iter': 76, 'batch_size': 1699, 'shuffle': False, 'momentum': 0.5743953073046433, 'nesterovs_momentum': False}"
25,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.470679570325744, 'activation': 'tanh', 'hidden_layer_sizes': (52, 197, 79, 77, 102), 'alpha': 2.8312451707347726, 'max_iter': 458, 'batch_size': 2510, 'shuffle': True, 'momentum': 0.09459092667733023, 'nesterovs_momentum': False}"
