,MLP (ADAM)
0,0.04766863426034629
1,0.27281341302177703
2,0.40832086197704553
3,0.7371165072504313
4,0.5966679384460325
5,0.341971700426836
6,0.06972444067142966
7,0.4341084931490004
8,0.4466321231593607
9,0.38267443756962705
10,0.11226229342604026
11,0.8554945014961837
12,0.4255714742689471
13,0.5791664353641142
14,0.4462688884975029
15,0.6939469377088222
16,0.18800710614846522
17,0.7636847583004982
18,0.4897117687135037
19,0.4129530291746388
20,0.3590854084991066
21,0.3982874828618918
22,0.11445887388021174
23,0.7977841433796629
24,0.20592358916800022
25,0.7652898003920888
26,0.6689615237706761
27,0.7365710274476374
28,0.7080677729974866
29,0.7740176848500859
