,MLP (ADAM)
0,0.3069809297562402
1,0.09094822020813495
2,0.8856373548857442
3,0.3720065844724412
4,0.09641614087145624
5,0.7719616847008546
6,0.461238307389663
7,0.7783189307581778
8,0.782112715561133
9,0.9506529981500088
10,0.7729930725522666
11,0.5322292387467753
12,0.42989617447372563
13,0.18995546376753678
14,0.555632775250539
15,0.7227108008593234
16,0.7281728856942284
17,0.06261001808626594
18,0.6020782606382643
19,0.5447041775639019
20,0.053487430113394754
21,0.45404007584451
22,0.47054325140692616
23,0.5420078922040503
24,0.09959057483760435
25,0.9749002106268956
26,0.6899267067541254
27,0.4933176612532357
28,0.21023671370667874
29,0.9131706073073617
