,MLP (SGD)
0,0.04033042476305801
1,0.6433387589131794
2,0.2513206019476062
3,0.4924579554332706
4,0.32824010400164494
5,0.5213778748158381
6,0.5556426177725883
7,0.5147930374662865
8,0.8005247747007096
9,0.940697503013163
10,0.7164419686518819
11,0.25077796190597845
12,0.9907313883940569
13,0.21204743553647556
14,0.13254610098703418
15,0.05437477927050322
16,0.8559801799558969
17,0.17758847497672733
18,0.015595805229096385
19,0.7141091850729152
20,0.3670545651307635
21,0.6790881190278834
22,0.5129249363342907
23,0.214110964145486
24,0.6220433514695639
25,0.5306234203442245
26,0.7286595138285842
27,0.8963317517963759
28,0.263396947491381
29,0.657289802419741
