,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,277,4922,831,50
1,418,18949,1213,196
2,261,114117,1971,185
3,307,1214,1764,321
4,325,9144,6540,171
5,195,771192,427,461
6,471,135564,408,228
7,296,13056,4524,198
8,245,139174,659,185
9,388,16576,437,223
10,220,149810,1702,349
11,371,45058,822,273
12,298,38320,4720,271
13,181,262892,18997,404
14,468,159082,2135,155
15,120,78659,5971,83
16,398,643016,1332,73
17,256,3743,1536,349
18,216,33188,5516,244
19,100,288,109,160
20,239,59558,634,226
21,357,230827,2233,213
22,335,208669,1562,102
23,526,49166,881,127
24,229,19303,2241,272
25,397,4817,473,313
26,286,903362,482,215
27,213,34793,792,148
28,231,174451,4850,201
29,410,13739,6277,91
