,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,22,198,55,2
1,23,402,29,8
2,14,1165,113,4
3,9,33,77,12
4,13,195,169,6
5,19,4132,40,12
6,25,1356,8,5
7,10,278,120,4
8,19,1389,27,6
9,27,337,18,5
10,11,1392,50,13
11,20,692,54,12
12,32,570,108,5
13,10,1915,432,16
14,30,1373,101,7
15,8,899,268,4
16,13,3344,76,2
17,18,95,86,10
18,15,671,263,8
19,17,8,2,4
20,15,752,51,5
21,21,1776,137,6
22,22,1718,80,3
23,17,690,43,3
24,18,446,103,7
25,19,94,27,16
26,23,4452,48,6
27,13,617,54,4
28,13,1516,219,8
29,16,289,200,3
