,MLP
0,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.77475564105822, 'activation': 'logistic', 'hidden_layer_sizes': (43, 104), 'alpha': 8.624498835171797, 'max_iter': 131, 'batch_size': 325, 'shuffle': True, 'momentum': 0.22958354595667824, 'nesterovs_momentum': True}"
1,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6365429825759352, 'activation': 'logistic', 'hidden_layer_sizes': (195, 59), 'alpha': 0.44759484241958214, 'max_iter': 74, 'batch_size': 376, 'shuffle': True, 'momentum': 0.9550672699164356, 'nesterovs_momentum': False}"
2,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.1453443016087668, 'activation': 'relu', 'hidden_layer_sizes': (168, 161), 'alpha': 2.080380914342082, 'max_iter': 245, 'batch_size': 461, 'shuffle': True, 'momentum': 0.6736968710753037, 'nesterovs_momentum': False}"
3,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.061301319016072, 'activation': 'relu', 'hidden_layer_sizes': (23,), 'alpha': 0.5101034721688267, 'max_iter': 48, 'batch_size': 267, 'shuffle': False, 'momentum': 0.4691654713240023, 'nesterovs_momentum': False}"
4,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.766002074450162, 'activation': 'logistic', 'hidden_layer_sizes': (118, 58), 'alpha': 4.378566831603441, 'max_iter': 168, 'batch_size': 87, 'shuffle': False, 'momentum': 0.7902734513731139, 'nesterovs_momentum': False}"
5,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.3230075009341862, 'activation': 'relu', 'hidden_layer_sizes': (75, 83, 133), 'alpha': 1.3878418959956245, 'max_iter': 277, 'batch_size': 193, 'shuffle': True, 'momentum': 0.27220387241302807, 'nesterovs_momentum': False}"
6,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.146684636715742, 'activation': 'tanh', 'hidden_layer_sizes': (188,), 'alpha': 0.4269856898700213, 'max_iter': 125, 'batch_size': 416, 'shuffle': True, 'momentum': 0.25950975188745296, 'nesterovs_momentum': False}"
7,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.338421794161715, 'activation': 'logistic', 'hidden_layer_sizes': (120, 149), 'alpha': 7.470281307712476, 'max_iter': 140, 'batch_size': 202, 'shuffle': True, 'momentum': 0.36417360474639027, 'nesterovs_momentum': True}"
8,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.6601355153612003, 'activation': 'logistic', 'hidden_layer_sizes': (51, 33), 'alpha': 9.32376851316906, 'max_iter': 243, 'batch_size': 246, 'shuffle': True, 'momentum': 0.40006135061287085, 'nesterovs_momentum': True}"
9,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.755208955642061, 'activation': 'logistic', 'hidden_layer_sizes': (57,), 'alpha': 6.466675020803063, 'max_iter': 272, 'batch_size': 219, 'shuffle': False, 'momentum': 0.16876464944849756, 'nesterovs_momentum': False}"
