,MLP (ADAM)
0,0.3345502092264832
1,0.8197971663024582
2,0.4916205128237869
3,0.8381817778576998
4,0.7962287410575081
5,0.9972659070752578
6,0.5817749254217641
7,0.3163508758429046
8,0.3053953129001781
9,0.5308127114332664
10,0.19227264996757518
11,0.13152237975050132
12,0.3433307194077124
13,0.12716888789513842
14,0.8098605727863161
15,0.832357772900764
16,0.9268420844953116
17,0.9153271007438949
18,0.8671964599133288
19,0.26392847100419464
20,0.6969360273048967
21,0.8895818042903517
22,0.9509900182686059
23,0.24645790967095837
24,0.9972891382427682
25,0.5649824755302694
26,0.7362081545387203
27,0.3749031903565409
28,0.0930310926558222
29,0.7287255106443934
