,MLP (SGD)
0,0.22958354595667824
1,0.9550672699164356
2,0.6736968710753037
3,0.4691654713240023
4,0.7902734513731139
5,0.27220387241302807
6,0.25950975188745296
7,0.36417360474639027
8,0.40006135061287085
9,0.16876464944849756
10,0.15349591199933293
11,0.5265920588246453
12,0.5641523590564615
13,0.6925445708408114
14,0.09503705924404883
15,0.49382096697747957
16,0.852721940340023
17,0.24594359934603904
18,0.2029771039070662
19,0.3546744400070048
20,0.014660976475636755
21,0.14529466292031096
22,0.7942893784455639
23,0.6151772972372601
24,0.2009551210132191
25,0.5178084786833488
26,0.7357352076339035
27,0.5007131512534716
28,0.23135678018502903
29,0.9601081072341389
