,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,57,55468,576,15
1,414,34193,485,34
2,14,117898,899,20
3,97,73296,84,173
4,10,72083,3570,243
5,49,407061,2837,191
6,289,173077,1369,89
7,66,4738,1696,17
8,41,2549,725,197
9,136,87652,184846,28
10,177,868311,4370,149
11,34,31212,12285,176
12,70,120574,12732,159
13,145,243887,10717,40
14,141,61224,1838,16
15,144,89691,84728,22
16,16,121765,1297,23
17,92,9051,5246,192
18,1380,22974,20858,158
19,54,2716,9319,98
20,144,94603,1663,134
21,233,346471,2563,109
22,81,3673,1153,116
23,24,130520,912,58
24,117,1979,1029,16
25,25,342140,736,108
26,153,20325,699,150
27,81,18101,635,18
28,55,65854,117208,77
29,60,407735,50168,143
