,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,1,297,475,2
1,14,110,88,3
2,1,262,102,1
3,1,326,364,3
4,1,332,461,6
5,1,493,370,3
6,5,253,228,1
7,2,453,441,1
8,1,236,164,3
9,1,365,369,3
10,11,487,417,3
11,2,136,462,3
12,1,447,407,4
13,1,301,242,2
14,4,319,485,1
15,1,391,498,1
16,1,263,327,1
17,1,63,458,3
18,90,107,333,3
19,1,246,404,2
20,1,399,298,3
21,4,362,489,2
22,1,344,468,2
23,1,217,303,2
24,5,185,258,1
25,1,368,368,1
26,1,179,440,2
27,5,95,390,1
28,3,201,309,2
29,4,500,449,2
