,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,7,885,52,3
1,60,762,38,4
2,2,1328,101,2
3,14,998,17,15
4,2,1016,198,22
5,7,2511,202,25
6,42,1775,124,9
7,6,454,124,2
8,5,237,60,29
9,21,1095,1840,4
10,12,4395,224,15
11,3,686,494,16
12,6,1364,438,19
13,13,2131,383,3
14,22,967,156,2
15,23,1129,1134,2
16,2,1367,89,2
17,19,328,307,26
18,91,557,548,15
19,16,247,350,12
20,24,1184,125,16
21,32,2532,198,14
22,15,345,83,12
23,2,1547,85,8
24,19,186,88,2
25,2,2554,62,9
26,17,532,58,13
27,6,494,79,2
28,4,983,1487,10
29,7,2511,972,13
