,MLP (ADAM),MLP (SGD)
0,"{'solver': 'adam', 'learning_rate_init': 8.732166372184683, 'activation': 'relu', 'hidden_layer_sizes': (165,), 'alpha': 9.018963167254192, 'max_iter': 86, 'batch_size': 116, 'shuffle': True, 'beta_1': 0.19570330550123669, 'beta_2': 0.8528522225516414}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.9082430375220905, 'activation': 'logistic', 'hidden_layer_sizes': (139,), 'alpha': 8.646204631113006, 'max_iter': 297, 'batch_size': 229, 'shuffle': True, 'momentum': 0.9858991868891209, 'nesterovs_momentum': True}"
1,"{'solver': 'adam', 'learning_rate_init': 8.503449126046592, 'activation': 'tanh', 'hidden_layer_sizes': (176,), 'alpha': 7.250592753174965, 'max_iter': 186, 'batch_size': 53, 'shuffle': True, 'beta_1': 0.7589936247978192, 'beta_2': 0.7257306197515314}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.859730664135384, 'activation': 'tanh', 'hidden_layer_sizes': (74, 185), 'alpha': 2.02855234016026, 'max_iter': 27, 'batch_size': 300, 'shuffle': False, 'momentum': 0.36049022662450214, 'nesterovs_momentum': False}"
2,"{'solver': 'adam', 'learning_rate_init': 9.988564937642156, 'activation': 'tanh', 'hidden_layer_sizes': (135, 121, 9, 191), 'alpha': 6.044568898192206, 'max_iter': 213, 'batch_size': 103, 'shuffle': True, 'beta_1': 0.7985305683715778, 'beta_2': 0.020922612436174683}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.484566565767184, 'activation': 'relu', 'hidden_layer_sizes': (141, 126, 23, 38), 'alpha': 1.8733344671553367, 'max_iter': 72, 'batch_size': 286, 'shuffle': False, 'momentum': 0.5076184423518202, 'nesterovs_momentum': False}"
3,"{'solver': 'adam', 'learning_rate_init': 7.569453469549475, 'activation': 'tanh', 'hidden_layer_sizes': (4, 29, 151), 'alpha': 0.46136155173281923, 'max_iter': 124, 'batch_size': 242, 'shuffle': False, 'beta_1': 0.7505686390498574, 'beta_2': 0.3390906783961132}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.075676898008093, 'activation': 'tanh', 'hidden_layer_sizes': (149, 37), 'alpha': 5.855516968731304, 'max_iter': 388, 'batch_size': 71, 'shuffle': True, 'momentum': 0.15702290392474297, 'nesterovs_momentum': True}"
4,"{'solver': 'adam', 'learning_rate_init': 3.356268890643551, 'activation': 'relu', 'hidden_layer_sizes': (4,), 'alpha': 1.1618895541858296, 'max_iter': 318, 'batch_size': 129, 'shuffle': True, 'beta_1': 0.6549311931613248, 'beta_2': 0.18956365269339426}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6543182404596118, 'activation': 'tanh', 'hidden_layer_sizes': (64,), 'alpha': 8.056324844526225, 'max_iter': 303, 'batch_size': 195, 'shuffle': True, 'momentum': 0.7328496924862078, 'nesterovs_momentum': False}"
5,"{'solver': 'adam', 'learning_rate_init': 8.234290856338676, 'activation': 'logistic', 'hidden_layer_sizes': (136, 10, 89, 192), 'alpha': 1.9819221433299594, 'max_iter': 357, 'batch_size': 255, 'shuffle': True, 'beta_1': 0.32325225282421444, 'beta_2': 0.014323200787419707}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.950432696172218, 'activation': 'tanh', 'hidden_layer_sizes': (187, 46, 119, 116, 119), 'alpha': 6.108016836235572, 'max_iter': 394, 'batch_size': 340, 'shuffle': True, 'momentum': 0.3218203859743986, 'nesterovs_momentum': True}"
6,"{'solver': 'adam', 'learning_rate_init': 0.15793998672656648, 'activation': 'logistic', 'hidden_layer_sizes': (9, 76), 'alpha': 3.6856994998927153, 'max_iter': 94, 'batch_size': 368, 'shuffle': False, 'beta_1': 0.45504282955789693, 'beta_2': 0.9647036149966914}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.104049498745725, 'activation': 'logistic', 'hidden_layer_sizes': (176, 195), 'alpha': 2.2730698864654686, 'max_iter': 55, 'batch_size': 54, 'shuffle': True, 'momentum': 0.23948818909139627, 'nesterovs_momentum': False}"
7,"{'solver': 'adam', 'learning_rate_init': 4.500199712157686, 'activation': 'relu', 'hidden_layer_sizes': (84, 159, 181), 'alpha': 4.227423286114977, 'max_iter': 37, 'batch_size': 132, 'shuffle': True, 'beta_1': 0.18181641739739293, 'beta_2': 0.2722592243108319}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 7.788423511988101, 'activation': 'logistic', 'hidden_layer_sizes': (21, 200, 38, 20, 183), 'alpha': 5.3680638829859895, 'max_iter': 453, 'batch_size': 282, 'shuffle': False, 'momentum': 0.11729464800189232, 'nesterovs_momentum': False}"
8,"{'solver': 'adam', 'learning_rate_init': 4.96103001231109, 'activation': 'logistic', 'hidden_layer_sizes': (67, 110, 6, 136, 12), 'alpha': 0.6513349520035887, 'max_iter': 151, 'batch_size': 342, 'shuffle': False, 'beta_1': 0.5822208706645932, 'beta_2': 0.42389333528299183}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.239327316273303, 'activation': 'logistic', 'hidden_layer_sizes': (156, 50), 'alpha': 2.1635276477119527, 'max_iter': 425, 'batch_size': 246, 'shuffle': True, 'momentum': 0.04291447851251282, 'nesterovs_momentum': False}"
9,"{'solver': 'adam', 'learning_rate_init': 8.805325706592921, 'activation': 'logistic', 'hidden_layer_sizes': (163, 59, 139, 102), 'alpha': 4.881710667333399, 'max_iter': 268, 'batch_size': 327, 'shuffle': False, 'beta_1': 0.8441892320405058, 'beta_2': 0.1150527160243102}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.506895366946173, 'activation': 'logistic', 'hidden_layer_sizes': (156, 189, 51), 'alpha': 6.959496260112896, 'max_iter': 169, 'batch_size': 229, 'shuffle': True, 'momentum': 0.8102258766321502, 'nesterovs_momentum': False}"
