,MLP
0,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.9082430375220905, 'activation': 'logistic', 'hidden_layer_sizes': (139,), 'alpha': 8.646204631113006, 'max_iter': 297, 'batch_size': 229, 'shuffle': True, 'momentum': 0.9858991868891209, 'nesterovs_momentum': True}"
1,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.859730664135384, 'activation': 'tanh', 'hidden_layer_sizes': (74, 185), 'alpha': 2.02855234016026, 'max_iter': 27, 'batch_size': 300, 'shuffle': False, 'momentum': 0.36049022662450214, 'nesterovs_momentum': False}"
2,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.484566565767184, 'activation': 'relu', 'hidden_layer_sizes': (141, 126, 23, 38), 'alpha': 1.8733344671553367, 'max_iter': 72, 'batch_size': 286, 'shuffle': False, 'momentum': 0.5076184423518202, 'nesterovs_momentum': False}"
3,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.075676898008093, 'activation': 'tanh', 'hidden_layer_sizes': (149, 37), 'alpha': 5.855516968731304, 'max_iter': 388, 'batch_size': 71, 'shuffle': True, 'momentum': 0.15702290392474297, 'nesterovs_momentum': True}"
4,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6543182404596118, 'activation': 'tanh', 'hidden_layer_sizes': (64,), 'alpha': 8.056324844526225, 'max_iter': 303, 'batch_size': 195, 'shuffle': True, 'momentum': 0.7328496924862078, 'nesterovs_momentum': False}"
5,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.950432696172218, 'activation': 'tanh', 'hidden_layer_sizes': (187, 46, 119, 116, 119), 'alpha': 6.108016836235572, 'max_iter': 394, 'batch_size': 340, 'shuffle': True, 'momentum': 0.3218203859743986, 'nesterovs_momentum': True}"
6,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.104049498745725, 'activation': 'logistic', 'hidden_layer_sizes': (176, 195), 'alpha': 2.2730698864654686, 'max_iter': 55, 'batch_size': 54, 'shuffle': True, 'momentum': 0.23948818909139627, 'nesterovs_momentum': False}"
7,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 7.788423511988101, 'activation': 'logistic', 'hidden_layer_sizes': (21, 200, 38, 20, 183), 'alpha': 5.3680638829859895, 'max_iter': 453, 'batch_size': 282, 'shuffle': False, 'momentum': 0.11729464800189232, 'nesterovs_momentum': False}"
8,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.239327316273303, 'activation': 'logistic', 'hidden_layer_sizes': (156, 50), 'alpha': 2.1635276477119527, 'max_iter': 425, 'batch_size': 246, 'shuffle': True, 'momentum': 0.04291447851251282, 'nesterovs_momentum': False}"
9,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.506895366946173, 'activation': 'logistic', 'hidden_layer_sizes': (156, 189, 51), 'alpha': 6.959496260112896, 'max_iter': 169, 'batch_size': 229, 'shuffle': True, 'momentum': 0.8102258766321502, 'nesterovs_momentum': False}"
