,MLP (ADAM)
0,0.19570330550123669
1,0.7589936247978192
2,0.7985305683715778
3,0.7505686390498574
4,0.6549311931613248
5,0.32325225282421444
6,0.45504282955789693
7,0.18181641739739293
8,0.5822208706645932
9,0.8441892320405058
10,0.8240742230026278
11,0.9990150185987583
12,0.8961718959974616
13,0.7956309211216602
14,0.11086341391704958
15,0.4036854736328638
16,0.9179970660874474
17,0.7539066064577802
18,0.8888998866887892
19,0.7911714065416753
20,0.9106737238431506
21,0.42984012977035946
22,0.2884542188007387
23,0.15475457331812587
24,0.8162883219264738
25,0.3620958162583616
26,0.3818417525342013
27,0.4549609543272503
28,0.6998582485322901
29,0.980203666965558
