,MLP (SGD)
0,0.9858991868891209
1,0.36049022662450214
2,0.5076184423518202
3,0.15702290392474297
4,0.7328496924862078
5,0.3218203859743986
6,0.23948818909139627
7,0.11729464800189232
8,0.04291447851251282
9,0.8102258766321502
10,0.11876362004565731
11,0.01848681743589354
12,0.7901084935269441
13,0.3400561638972895
14,0.9683355127367573
15,0.3691153611580761
16,0.6395753672078535
17,0.5241157895712363
18,0.3857998596169018
19,0.2743917105467878
20,0.11185586885062312
21,0.07112813081745512
22,0.43723566216214665
23,0.4021054654296318
24,0.27109215100547435
25,0.9287709622446313
26,0.3720213256294395
27,0.46955566538458454
28,0.904870079481398
29,0.2257641129122106
