,SLM
0,0.7371967654986523
1,0.6536388140161725
2,0.7088948787061995
3,0.6509433962264151
4,0.6509433962264151
5,0.6509433962264151
6,0.6994609164420486
7,0.6509433962264151
8,0.6886792452830188
9,0.6805929919137467
10,0.6509433962264151
11,0.6509433962264151
12,0.6495956873315364
13,0.6671159029649596
14,0.6509433962264151
15,0.6509433962264151
16,0.6522911051212938
17,0.6509433962264151
18,0.6846361185983828
19,0.6509433962264151
20,0.6514131897711979
21,0.6514131897711979
22,0.6998654104979811
23,0.721399730820996
24,0.7012113055181696
25,0.6567967698519516
26,0.6514131897711979
27,0.6514131897711979
28,0.7352150537634409
29,0.6505376344086021
